# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -20.00000000          0.35294507
        -19.99733333          0.35016479
        -19.99466667          0.34735926
        -19.99200000          0.34452801
        -19.98933333          0.34167061
        -19.98666667          0.33878668
        -19.98400000          0.33587587
        -19.98133333          0.33293791
        -19.97866667          0.32997257
        -19.97600000          0.32697971
        -19.97333333          0.32395925
        -19.97066667          0.32091118
        -19.96800000          0.31783558
        -19.96533333          0.31473263
        -19.96266667          0.31160257
        -19.96000000          0.30844578
        -19.95733333          0.30526269
        -19.95466667          0.30205388
        -19.95200000          0.29881999
        -19.94933333          0.29556181
        -19.94666667          0.29228021
        -19.94400000          0.28897617
        -19.94133333          0.28565080
        -19.93866667          0.28230530
        -19.93600000          0.27894100
        -19.93333333          0.27555933
        -19.93066667          0.27216183
        -19.92800000          0.26875013
        -19.92533333          0.26532599
        -19.92266667          0.26189125
        -19.92000000          0.25844786
        -19.91733333          0.25499786
        -19.91466667          0.25154336
        -19.91200000          0.24808659
        -19.90933333          0.24462980
        -19.90666667          0.24117538
        -19.90400000          0.23772572
        -19.90133333          0.23428330
        -19.89866667          0.23085066
        -19.89600000          0.22743035
        -19.89333333          0.22402499
        -19.89066667          0.22063719
        -19.88800000          0.21726961
        -19.88533333          0.21392490
        -19.88266667          0.21060572
        -19.88000000          0.20731472
        -19.87733333          0.20405454
        -19.87466667          0.20082777
        -19.87200000          0.19763701
        -19.86933333          0.19448477
        -19.86666667          0.19137355
        -19.86400000          0.18830577
        -19.86133333          0.18528377
        -19.85866667          0.18230985
        -19.85600000          0.17938620
        -19.85333333          0.17651493
        -19.85066667          0.17369805
        -19.84800000          0.17093747
        -19.84533333          0.16823498
        -19.84266667          0.16559228
        -19.84000000          0.16301091
        -19.83733333          0.16049233
        -19.83466667          0.15803783
        -19.83200000          0.15564859
        -19.82933333          0.15332565
        -19.82666667          0.15106990
        -19.82400000          0.14888210
        -19.82133333          0.14676287
        -19.81866667          0.14471266
        -19.81600000          0.14273181
        -19.81333333          0.14082050
        -19.81066667          0.13897876
        -19.80800000          0.13720649
        -19.80533333          0.13550343
        -19.80266667          0.13386921
        -19.80000000          0.13230329
        -19.79733333          0.13080503
        -19.79466667          0.12937365
        -19.79200000          0.12800823
        -19.78933333          0.12670774
        -19.78666667          0.12547105
        -19.78400000          0.12429689
        -19.78133333          0.12318393
        -19.77866667          0.12213069
        -19.77600000          0.12113563
        -19.77333333          0.12019712
        -19.77066667          0.11931346
        -19.76800000          0.11848285
        -19.76533333          0.11770346
        -19.76266667          0.11697338
        -19.76000000          0.11629065
        -19.75733333          0.11565329
        -19.75466667          0.11505925
        -19.75200000          0.11450649
        -19.74933333          0.11399292
        -19.74666667          0.11351645
        -19.74400000          0.11307498
        -19.74133333          0.11266641
        -19.73866667          0.11228865
        -19.73600000          0.11193962
        -19.73333333          0.11161728
        -19.73066667          0.11131957
        -19.72800000          0.11104452
        -19.72533333          0.11079016
        -19.72266667          0.11055457
        -19.72000000          0.11033589
        -19.71733333          0.11013231
        -19.71466667          0.10994206
        -19.71200000          0.10976346
        -19.70933333          0.10959488
        -19.70666667          0.10943475
        -19.70400000          0.10928159
        -19.70133333          0.10913399
        -19.69866667          0.10899061
        -19.69600000          0.10885020
        -19.69333333          0.10871157
        -19.69066667          0.10857364
        -19.68800000          0.10843539
        -19.68533333          0.10829589
        -19.68266667          0.10815431
        -19.68000000          0.10800987
        -19.67733333          0.10786190
        -19.67466667          0.10770981
        -19.67200000          0.10755308
        -19.66933333          0.10739128
        -19.66666667          0.10722405
        -19.66400000          0.10705112
        -19.66133333          0.10687228
        -19.65866667          0.10668742
        -19.65600000          0.10649647
        -19.65333333          0.10629945
        -19.65066667          0.10609643
        -19.64800000          0.10588757
        -19.64533333          0.10567307
        -19.64266667          0.10545319
        -19.64000000          0.10522825
        -19.63733333          0.10499862
        -19.63466667          0.10476473
        -19.63200000          0.10452704
        -19.62933333          0.10428608
        -19.62666667          0.10404238
        -19.62400000          0.10379654
        -19.62133333          0.10354919
        -19.61866667          0.10330099
        -19.61600000          0.10305262
        -19.61333333          0.10280480
        -19.61066667          0.10255825
        -19.60800000          0.10231375
        -19.60533333          0.10207206
        -19.60266667          0.10183398
        -19.60000000          0.10160032
        -19.59733333          0.10137188
        -19.59466667          0.10114950
        -19.59200000          0.10093401
        -19.58933333          0.10072625
        -19.58666667          0.10052706
        -19.58400000          0.10033728
        -19.58133333          0.10015775
        -19.57866667          0.09998933
        -19.57600000          0.09983284
        -19.57333333          0.09968912
        -19.57066667          0.09955901
        -19.56800000          0.09944333
        -19.56533333          0.09934289
        -19.56266667          0.09925850
        -19.56000000          0.09919096
        -19.55733333          0.09914105
        -19.55466667          0.09910957
        -19.55200000          0.09909727
        -19.54933333          0.09910492
        -19.54666667          0.09913324
        -19.54400000          0.09918299
        -19.54133333          0.09925486
        -19.53866667          0.09934957
        -19.53600000          0.09946782
        -19.53333333          0.09961026
        -19.53066667          0.09977757
        -19.52800000          0.09997039
        -19.52533333          0.10018936
        -19.52266667          0.10043508
        -19.52000000          0.10070816
        -19.51733333          0.10100918
        -19.51466667          0.10133871
        -19.51200000          0.10169729
        -19.50933333          0.10208547
        -19.50666667          0.10250374
        -19.50400000          0.10295262
        -19.50133333          0.10343257
        -19.49866667          0.10394406
        -19.49600000          0.10448751
        -19.49333333          0.10506334
        -19.49066667          0.10567196
        -19.48800000          0.10631373
        -19.48533333          0.10698900
        -19.48266667          0.10769810
        -19.48000000          0.10844134
        -19.47733333          0.10921898
        -19.47466667          0.11003127
        -19.47200000          0.11087845
        -19.46933333          0.11176071
        -19.46666667          0.11267822
        -19.46400000          0.11363110
        -19.46133333          0.11461948
        -19.45866667          0.11564341
        -19.45600000          0.11670296
        -19.45333333          0.11779812
        -19.45066667          0.11892886
        -19.44800000          0.12009514
        -19.44533333          0.12129684
        -19.44266667          0.12253383
        -19.44000000          0.12380594
        -19.43733333          0.12511296
        -19.43466667          0.12645462
        -19.43200000          0.12783065
        -19.42933333          0.12924069
        -19.42666667          0.13068439
        -19.42400000          0.13216130
        -19.42133333          0.13367098
        -19.41866667          0.13521291
        -19.41600000          0.13678654
        -19.41333333          0.13839129
        -19.41066667          0.14002650
        -19.40800000          0.14169151
        -19.40533333          0.14338557
        -19.40266667          0.14510792
        -19.40000000          0.14685775
        -19.39733333          0.14863420
        -19.39466667          0.15043637
        -19.39200000          0.15226331
        -19.38933333          0.15411404
        -19.38666667          0.15598755
        -19.38400000          0.15788277
        -19.38133333          0.15979861
        -19.37866667          0.16173392
        -19.37600000          0.16368753
        -19.37333333          0.16565826
        -19.37066667          0.16764486
        -19.36800000          0.16964607
        -19.36533333          0.17166060
        -19.36266667          0.17368714
        -19.36000000          0.17572435
        -19.35733333          0.17777088
        -19.35466667          0.17982534
        -19.35200000          0.18188636
        -19.34933333          0.18395252
        -19.34666667          0.18602242
        -19.34400000          0.18809463
        -19.34133333          0.19016774
        -19.33866667          0.19224032
        -19.33600000          0.19431096
        -19.33333333          0.19637822
        -19.33066667          0.19844072
        -19.32800000          0.20049704
        -19.32533333          0.20254582
        -19.32266667          0.20458567
        -19.32000000          0.20661527
        -19.31733333          0.20863328
        -19.31466667          0.21063842
        -19.31200000          0.21262941
        -19.30933333          0.21460502
        -19.30666667          0.21656405
        -19.30400000          0.21850534
        -19.30133333          0.22042775
        -19.29866667          0.22233022
        -19.29600000          0.22421169
        -19.29333333          0.22607117
        -19.29066667          0.22790772
        -19.28800000          0.22972044
        -19.28533333          0.23150847
        -19.28266667          0.23327102
        -19.28000000          0.23500736
        -19.27733333          0.23671678
        -19.27466667          0.23839866
        -19.27200000          0.24005241
        -19.26933333          0.24167751
        -19.26666667          0.24327349
        -19.26400000          0.24483993
        -19.26133333          0.24637648
        -19.25866667          0.24788282
        -19.25600000          0.24935872
        -19.25333333          0.25080396
        -19.25066667          0.25221841
        -19.24800000          0.25360197
        -19.24533333          0.25495460
        -19.24266667          0.25627629
        -19.24000000          0.25756709
        -19.23733333          0.25882711
        -19.23466667          0.26005647
        -19.23200000          0.26125536
        -19.22933333          0.26242399
        -19.22666667          0.26356261
        -19.22400000          0.26467151
        -19.22133333          0.26575101
        -19.21866667          0.26680145
        -19.21600000          0.26782322
        -19.21333333          0.26881671
        -19.21066667          0.26978235
        -19.20800000          0.27072058
        -19.20533333          0.27163187
        -19.20266667          0.27251669
        -19.20000000          0.27337554
        -19.19733333          0.27420891
        -19.19466667          0.27501733
        -19.19200000          0.27580131
        -19.18933333          0.27656137
        -19.18666667          0.27729805
        -19.18400000          0.27801188
        -19.18133333          0.27870338
        -19.17866667          0.27937310
        -19.17600000          0.28002156
        -19.17333333          0.28064929
        -19.17066667          0.28125680
        -19.16800000          0.28184462
        -19.16533333          0.28241326
        -19.16266667          0.28296322
        -19.16000000          0.28349499
        -19.15733333          0.28400908
        -19.15466667          0.28450595
        -19.15200000          0.28498608
        -19.14933333          0.28544995
        -19.14666667          0.28589799
        -19.14400000          0.28633068
        -19.14133333          0.28674844
        -19.13866667          0.28715172
        -19.13600000          0.28754094
        -19.13333333          0.28791651
        -19.13066667          0.28827886
        -19.12800000          0.28862840
        -19.12533333          0.28896551
        -19.12266667          0.28929061
        -19.12000000          0.28960407
        -19.11733333          0.28990630
        -19.11466667          0.29019765
        -19.11200000          0.29047853
        -19.10933333          0.29074929
        -19.10666667          0.29101030
        -19.10400000          0.29126194
        -19.10133333          0.29150454
        -19.09866667          0.29173848
        -19.09600000          0.29196410
        -19.09333333          0.29218174
        -19.09066667          0.29239174
        -19.08800000          0.29259443
        -19.08533333          0.29279013
        -19.08266667          0.29297915
        -19.08000000          0.29316180
        -19.07733333          0.29333837
        -19.07466667          0.29350913
        -19.07200000          0.29367435
        -19.06933333          0.29383428
        -19.06666667          0.29398916
        -19.06400000          0.29413919
        -19.06133333          0.29428457
        -19.05866667          0.29442547
        -19.05600000          0.29456204
        -19.05333333          0.29469438
        -19.05066667          0.29482260
        -19.04800000          0.29494675
        -19.04533333          0.29506686
        -19.04266667          0.29518291
        -19.04000000          0.29529488
        -19.03733333          0.29540266
        -19.03466667          0.29550615
        -19.03200000          0.29560516
        -19.02933333          0.29569950
        -19.02666667          0.29578891
        -19.02400000          0.29587309
        -19.02133333          0.29595168
        -19.01866667          0.29602429
        -19.01600000          0.29609047
        -19.01333333          0.29614971
        -19.01066667          0.29620147
        -19.00800000          0.29624515
        -19.00533333          0.29628009
        -19.00266667          0.29630558
        -19.00000000          0.29632088
        -18.99733333          0.29632516
        -18.99466667          0.29631758
        -18.99200000          0.29629722
        -18.98933333          0.29626315
        -18.98666667          0.29621435
        -18.98400000          0.29614980
        -18.98133333          0.29606841
        -18.97866667          0.29596906
        -18.97600000          0.29585059
        -18.97333333          0.29571183
        -18.97066667          0.29555155
        -18.96800000          0.29536850
