# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -20.00000000          0.29448611
        -19.99733333          0.29109360
        -19.99466667          0.28769501
        -19.99200000          0.28429187
        -19.98933333          0.28088583
        -19.98666667          0.27747859
        -19.98400000          0.27407196
        -19.98133333          0.27066781
        -19.97866667          0.26726809
        -19.97600000          0.26387479
        -19.97333333          0.26048998
        -19.97066667          0.25711576
        -19.96800000          0.25375428
        -19.96533333          0.25040773
        -19.96266667          0.24707832
        -19.96000000          0.24376826
        -19.95733333          0.24047980
        -19.95466667          0.23721516
        -19.95200000          0.23397659
        -19.94933333          0.23076628
        -19.94666667          0.22758644
        -19.94400000          0.22443921
        -19.94133333          0.22132673
        -19.93866667          0.21825106
        -19.93600000          0.21521423
        -19.93333333          0.21221818
        -19.93066667          0.20926480
        -19.92800000          0.20635591
        -19.92533333          0.20349324
        -19.92266667          0.20067843
        -19.92000000          0.19791303
        -19.91733333          0.19519849
        -19.91466667          0.19253616
        -19.91200000          0.18992728
        -19.90933333          0.18737298
        -19.90666667          0.18487427
        -19.90400000          0.18243206
        -19.90133333          0.18004714
        -19.89866667          0.17772015
        -19.89600000          0.17545164
        -19.89333333          0.17324203
        -19.89066667          0.17109162
        -19.88800000          0.16900058
        -19.88533333          0.16696898
        -19.88266667          0.16499674
        -19.88000000          0.16308369
        -19.87733333          0.16122954
        -19.87466667          0.15943388
        -19.87200000          0.15769621
        -19.86933333          0.15601591
        -19.86666667          0.15439227
        -19.86400000          0.15282448
        -19.86133333          0.15131163
        -19.85866667          0.14985276
        -19.85600000          0.14844678
        -19.85333333          0.14709258
        -19.85066667          0.14578893
        -19.84800000          0.14453458
        -19.84533333          0.14332821
        -19.84266667          0.14216843
        -19.84000000          0.14105383
        -19.83733333          0.13998297
        -19.83466667          0.13895435
        -19.83200000          0.13796647
        -19.82933333          0.13701780
        -19.82666667          0.13610681
        -19.82400000          0.13523196
        -19.82133333          0.13439169
        -19.81866667          0.13358448
        -19.81600000          0.13280879
        -19.81333333          0.13206313
        -19.81066667          0.13134601
        -19.80800000          0.13065597
        -19.80533333          0.12999158
        -19.80266667          0.12935146
        -19.80000000          0.12873427
        -19.79733333          0.12813869
        -19.79466667          0.12756349
        -19.79200000          0.12700744
        -19.78933333          0.12646942
        -19.78666667          0.12594832
        -19.78400000          0.12544312
        -19.78133333          0.12495285
        -19.77866667          0.12447661
        -19.77600000          0.12401355
        -19.77333333          0.12356290
        -19.77066667          0.12312395
        -19.76800000          0.12269606
        -19.76533333          0.12227866
        -19.76266667          0.12187124
        -19.76000000          0.12147336
        -19.75733333          0.12108465
        -19.75466667          0.12070480
        -19.75200000          0.12033357
        -19.74933333          0.11997077
        -19.74666667          0.11961628
        -19.74400000          0.11927005
        -19.74133333          0.11893207
        -19.73866667          0.11860240
        -19.73600000          0.11828114
        -19.73333333          0.11796846
        -19.73066667          0.11766457
        -19.72800000          0.11736971
        -19.72533333          0.11708420
        -19.72266667          0.11680837
        -19.72000000          0.11654261
        -19.71733333          0.11628733
        -19.71466667          0.11604298
        -19.71200000          0.11581006
        -19.70933333          0.11558907
        -19.70666667          0.11538054
        -19.70400000          0.11518505
        -19.70133333          0.11500317
        -19.69866667          0.11483551
        -19.69600000          0.11468268
        -19.69333333          0.11454530
        -19.69066667          0.11442403
        -19.68800000          0.11431951
        -19.68533333          0.11423240
        -19.68266667          0.11416336
        -19.68000000          0.11411305
        -19.67733333          0.11408213
        -19.67466667          0.11407127
        -19.67200000          0.11408114
        -19.66933333          0.11411237
        -19.66666667          0.11416563
        -19.66400000          0.11424154
        -19.66133333          0.11434076
        -19.65866667          0.11446388
        -19.65600000          0.11461154
        -19.65333333          0.11478431
        -19.65066667          0.11498279
        -19.64800000          0.11520754
        -19.64533333          0.11545912
        -19.64266667          0.11573806
        -19.64000000          0.11604488
        -19.63733333          0.11638008
        -19.63466667          0.11674415
        -19.63200000          0.11713754
        -19.62933333          0.11756069
        -19.62666667          0.11801404
        -19.62400000          0.11849798
        -19.62133333          0.11901290
        -19.61866667          0.11955915
        -19.61600000          0.12013707
        -19.61333333          0.12074697
        -19.61066667          0.12138915
        -19.60800000          0.12206388
        -19.60533333          0.12277140
        -19.60266667          0.12351194
        -19.60000000          0.12428569
        -19.59733333          0.12509282
        -19.59466667          0.12593349
        -19.59200000          0.12680782
        -19.58933333          0.12771591
        -19.58666667          0.12865783
        -19.58400000          0.12963363
        -19.58133333          0.13064333
        -19.57866667          0.13168694
        -19.57600000          0.13276440
        -19.57333333          0.13387567
        -19.57066667          0.13502066
        -19.56800000          0.13619925
        -19.56533333          0.13741130
        -19.56266667          0.13865663
        -19.56000000          0.13993505
        -19.55733333          0.14124632
        -19.55466667          0.14259018
        -19.55200000          0.14396634
        -19.54933333          0.14537448
        -19.54666667          0.14681424
        -19.54400000          0.14828523
        -19.54133333          0.14978705
        -19.53866667          0.15131924
        -19.53600000          0.15288132
        -19.53333333          0.15447278
        -19.53066667          0.15609307
        -19.52800000          0.15774162
        -19.52533333          0.15941782
        -19.52266667          0.16112103
        -19.52000000          0.16285056
        -19.51733333          0.16460573
        -19.51466667          0.16638578
        -19.51200000          0.16818995
        -19.50933333          0.17001744
        -19.50666667          0.17186742
        -19.50400000          0.17373904
        -19.50133333          0.17563139
        -19.49866667          0.17754358
        -19.49600000          0.17947464
        -19.49333333          0.18142362
        -19.49066667          0.18338951
        -19.48800000          0.18537131
        -19.48533333          0.18736796
        -19.48266667          0.18937841
        -19.48000000          0.19140156
        -19.47733333          0.19343633
        -19.47466667          0.19548159
        -19.47200000          0.19753622
        -19.46933333          0.19959906
        -19.46666667          0.20166896
        -19.46400000          0.20374476
        -19.46133333          0.20582528
        -19.45866667          0.20790935
        -19.45600000          0.20999579
        -19.45333333          0.21208342
        -19.45066667          0.21417106
        -19.44800000          0.21625754
        -19.44533333          0.21834168
        -19.44266667          0.22042233
        -19.44000000          0.22249834
        -19.43733333          0.22456857
        -19.43466667          0.22663190
        -19.43200000          0.22868723
        -19.42933333          0.23073348
        -19.42666667          0.23276957
        -19.42400000          0.23479448
        -19.42133333          0.23680718
        -19.41866667          0.23880670
        -19.41600000          0.24079207
        -19.41333333          0.24276237
        -19.41066667          0.24471671
        -19.40800000          0.24665422
        -19.40533333          0.24857408
        -19.40266667          0.25047551
        -19.40000000          0.25235775
        -19.39733333          0.25422010
        -19.39466667          0.25606188
        -19.39200000          0.25788245
        -19.38933333          0.25968124
        -19.38666667          0.26145769
        -19.38400000          0.26321129
        -19.38133333          0.26494157
        -19.37866667          0.26664811
        -19.37600000          0.26833053
        -19.37333333          0.26998848
        -19.37066667          0.27162167
        -19.36800000          0.27322982
        -19.36533333          0.27481273
        -19.36266667          0.27637019
        -19.36000000          0.27790207
        -19.35733333          0.27940826
        -19.35466667          0.28088869
        -19.35200000          0.28234331
        -19.34933333          0.28377212
        -19.34666667          0.28517514
        -19.34400000          0.28655244
        -19.34133333          0.28790409
        -19.33866667          0.28923020
        -19.33600000          0.29053092
        -19.33333333          0.29180640
        -19.33066667          0.29305683
        -19.32800000          0.29428241
        -19.32533333          0.29548336
        -19.32266667          0.29665994
        -19.32000000          0.29781238
        -19.31733333          0.29894097
        -19.31466667          0.30004598
        -19.31200000          0.30112772
        -19.30933333          0.30218647
        -19.30666667          0.30322255
        -19.30400000          0.30423627
        -19.30133333          0.30522795
        -19.29866667          0.30619792
        -19.29600000          0.30714650
        -19.29333333          0.30807401
        -19.29066667          0.30898077
        -19.28800000          0.30986710
        -19.28533333          0.31073331
        -19.28266667          0.31157971
        -19.28000000          0.31240660
        -19.27733333          0.31321428
        -19.27466667          0.31400302
        -19.27200000          0.31477311
        -19.26933333          0.31552480
        -19.26666667          0.31625833
        -19.26400000          0.31697395
        -19.26133333          0.31767187
        -19.25866667          0.31835229
        -19.25600000          0.31901540
        -19.25333333          0.31966137
        -19.25066667          0.32029034
        -19.24800000          0.32090243
        -19.24533333          0.32149776
        -19.24266667          0.32207641
        -19.24000000          0.32263843
        -19.23733333          0.32318385
        -19.23466667          0.32371269
        -19.23200000          0.32422493
        -19.22933333          0.32472052
        -19.22666667          0.32519938
        -19.22400000          0.32566140
        -19.22133333          0.32610647
        -19.21866667          0.32653439
        -19.21600000          0.32694498
        -19.21333333          0.32733801
        -19.21066667          0.32771320
        -19.20800000          0.32807026
        -19.20533333          0.32840884
        -19.20266667          0.32872859
        -19.20000000          0.32902908
        -19.19733333          0.32930987
        -19.19466667          0.32957048
        -19.19200000          0.32981039
        -19.18933333          0.33002905
        -19.18666667          0.33022586
        -19.18400000          0.33040019
        -19.18133333          0.33055138
        -19.17866667          0.33067873
        -19.17600000          0.33078149
        -19.17333333          0.33085890
        -19.17066667          0.33091015
        -19.16800000          0.33093440
        -19.16533333          0.33093080
        -19.16266667          0.33089844
        -19.16000000          0.33083639
        -19.15733333          0.33074372
        -19.15466667          0.33061945
        -19.15200000          0.33046258
        -19.14933333          0.33027210
        -19.14666667          0.33004699
        -19.14400000          0.32978620
        -19.14133333          0.32948869
        -19.13866667          0.32915339
        -19.13600000          0.32877925
        -19.13333333          0.32836519
        -19.13066667          0.32791016
        -19.12800000          0.32741312
        -19.12533333          0.32687300
        -19.12266667          0.32628879
        -19.12000000          0.32565948
        -19.11733333          0.32498407
        -19.11466667          0.32426160
        -19.11200000          0.32349113
        -19.10933333          0.32267178
        -19.10666667          0.32180266
        -19.10400000          0.32088296
        -19.10133333          0.31991190
        -19.09866667          0.31888875
        -19.09600000          0.31781283
        -19.09333333          0.31668352
        -19.09066667          0.31550026
        -19.08800000          0.31426253
        -19.08533333          0.31296991
        -19.08266667          0.31162202
        -19.08000000          0.31021857
        -19.07733333          0.30875932
        -19.07466667          0.30724412
        -19.07200000          0.30567289
        -19.06933333          0.30404563
        -19.06666667          0.30236243
        -19.06400000          0.30062344
        -19.06133333          0.29882890
        -19.05866667          0.29697914
        -19.05600000          0.29507456
        -19.05333333          0.29311566
        -19.05066667          0.29110299
        -19.04800000          0.28903720
        -19.04533333          0.28691904
        -19.04266667          0.28474931
        -19.04000000          0.28252889
        -19.03733333          0.28025876
        -19.03466667          0.27793995
        -19.03200000          0.27557358
        -19.02933333          0.27316082
        -19.02666667          0.27070294
        -19.02400000          0.26820124
        -19.02133333          0.26565710
        -19.01866667          0.26307197
        -19.01600000          0.26044735
        -19.01333333          0.25778477
        -19.01066667          0.25508585
        -19.00800000          0.25235222
        -19.00533333          0.24958559
        -19.00266667          0.24678767
        -19.00000000          0.24396025
        -18.99733333          0.24110512
        -18.99466667          0.23822411
        -18.99200000          0.23531908
        -18.98933333          0.23239192
        -18.98666667          0.22944452
        -18.98400000          0.22647881
        -18.98133333          0.22349671
        -18.97866667          0.22050017
        -18.97600000          0.21749113
        -18.97333333          0.21447155
        -18.97066667          0.21144338
        -18.96800000          0.20840859
        -18.96533333          0.20536912
        -18.96266667          0.20232692
        -18.96000000          0.19928393
        -18.95733333          0.19624208
        -18.95466667          0.19320329
        -18.95200000          0.19016947
        -18.94933333          0.18714250
        -18.94666667          0.18412427
        -18.94400000          0.18111663
        -18.94133333          0.17812142
        -18.93866667          0.17514047
        -18.93600000          0.17217556
        -18.93333333          0.16922850
        -18.93066667          0.16630102
        -18.92800000          0.16339488
        -18.92533333          0.16051177
        -18.92266667          0.15765340
        -18.92000000          0.15482142
        -18.91733333          0.15201748
        -18.91466667          0.14924320
        -18.91200000          0.14650016
        -18.90933333          0.14378993
        -18.90666667          0.14111406
        -18.90400000          0.13847405
        -18.90133333          0.13587140
        -18.89866667          0.13330757
        -18.89600000          0.13078399
        -18.89333333          0.12830206
        -18.89066667          0.12586316
        -18.88800000          0.12346863
        -18.88533333          0.12111980
        -18.88266667          0.11881794
        -18.88000000          0.11656431
        -18.87733333          0.11436012
        -18.87466667          0.11220656
        -18.87200000          0.11010477
        -18.86933333          0.10805586
        -18.86666667          0.10606091
        -18.86400000          0.10412093
        -18.86133333          0.10223693
        -18.85866667          0.10040983
        -18.85600000          0.09864053
        -18.85333333          0.09692989
        -18.85066667          0.09527871
        -18.84800000          0.09368772
        -18.84533333          0.09215762
        -18.84266667          0.09068905
        -18.84000000          0.08928259
        -18.83733333          0.08793875
        -18.83466667          0.08665799
        -18.83200000          0.08544071
        -18.82933333          0.08428722
        -18.82666667          0.08319779
        -18.82400000          0.08217260
        -18.82133333          0.08121177
        -18.81866667          0.08031535
        -18.81600000          0.07948330
        -18.81333333          0.07871551
        -18.81066667          0.07801180
        -18.80800000          0.07737192
        -18.80533333          0.07679551
        -18.80266667          0.07628215
        -18.80000000          0.07583135
        -18.79733333          0.07544252
        -18.79466667          0.07511500
        -18.79200000          0.07484805
        -18.78933333          0.07464084
        -18.78666667          0.07449248
        -18.78400000          0.07440199
        -18.78133333          0.07436831
        -18.77866667          0.07439031
        -18.77600000          0.07446680
        -18.77333333          0.07459649
        -18.77066667          0.07477804
        -18.76800000          0.07501005
        -18.76533333          0.07529104
        -18.76266667          0.07561947
        -18.76000000          0.07599377
        -18.75733333          0.07641227
        -18.75466667          0.07687330
        -18.75200000          0.07737510
        -18.74933333          0.07791591
        -18.74666667          0.07849390
        -18.74400000          0.07910722
        -18.74133333          0.07975399
        -18.73866667          0.08043232
        -18.73600000          0.08114028
        -18.73333333          0.08187594
        -18.73066667          0.08263736
        -18.72800000          0.08342261
        -18.72533333          0.08422973
        -18.72266667          0.08505681
        -18.72000000          0.08590192
        -18.71733333          0.08676317
        -18.71466667          0.08763869
        -18.71200000          0.08852662
        -18.70933333          0.08942517
        -18.70666667          0.09033256
        -18.70400000          0.09124707
        -18.70133333          0.09216703
        -18.69866667          0.09309082
        -18.69600000          0.09401688
        -18.69333333          0.09494370
        -18.69066667          0.09586987
        -18.68800000          0.09679402
        -18.68533333          0.09771488
        -18.68266667          0.09863123
        -18.68000000          0.09954196
        -18.67733333          0.10044603
        -18.67466667          0.10134248
        -18.67200000          0.10223046
        -18.66933333          0.10310919
        -18.66666667          0.10397800
        -18.66400000          0.10483630
        -18.66133333          0.10568361
        -18.65866667          0.10651953
        -18.65600000          0.10734376
        -18.65333333          0.10815611
        -18.65066667          0.10895646
        -18.64800000          0.10974481
        -18.64533333          0.11052124
        -18.64266667          0.11128592
        -18.64000000          0.11203911
        -18.63733333          0.11278117
        -18.63466667          0.11351253
        -18.63200000          0.11423372
        -18.62933333          0.11494534
        -18.62666667          0.11564805
        -18.62400000          0.11634261
        -18.62133333          0.11702985
        -18.61866667          0.11771063
        -18.61600000          0.11838590
        -18.61333333          0.11905667
        -18.61066667          0.11972399
        -18.60800000          0.12038894
        -18.60533333          0.12105266
        -18.60266667          0.12171633
        -18.60000000          0.12238115
        -18.59733333          0.12304835
        -18.59466667          0.12371916
        -18.59200000          0.12439486
        -18.58933333          0.12507669
        -18.58666667          0.12576594
        -18.58400000          0.12646385
        -18.58133333          0.12717169
        -18.57866667          0.12789069
        -18.57600000          0.12862207
        -18.57333333          0.12936699
        -18.57066667          0.13012663
        -18.56800000          0.13090210
        -18.56533333          0.13169445
        -18.56266667          0.13250471
        -18.56000000          0.13333386
        -18.55733333          0.13418278
        -18.55466667          0.13505232
        -18.55200000          0.13594325
        -18.54933333          0.13685626
        -18.54666667          0.13779199
        -18.54400000          0.13875095
        -18.54133333          0.13973362
        -18.53866667          0.14074034
