# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -4.712244 eV
#    Energy (eV)      DOS 
        -15.28775564          0.26451456
        -15.28508897          0.26115308
        -15.28242230          0.25780927
        -15.27975564          0.25448517
        -15.27708897          0.25118285
        -15.27442230          0.24790435
        -15.27175564          0.24465174
        -15.26908897          0.24142704
        -15.26642230          0.23823227
        -15.26375564          0.23506942
        -15.26108897          0.23194043
        -15.25842230          0.22884720
        -15.25575564          0.22579158
        -15.25308897          0.22277536
        -15.25042230          0.21980028
        -15.24775564          0.21686799
        -15.24508897          0.21398006
        -15.24242230          0.21113800
        -15.23975564          0.20834321
        -15.23708897          0.20559702
        -15.23442230          0.20290064
        -15.23175564          0.20025521
        -15.22908897          0.19766174
        -15.22642230          0.19512114
        -15.22375564          0.19263424
        -15.22108897          0.19020173
        -15.21842230          0.18782420
        -15.21575564          0.18550213
        -15.21308897          0.18323589
        -15.21042230          0.18102574
        -15.20775564          0.17887184
        -15.20508897          0.17677421
        -15.20242230          0.17473281
        -15.19975564          0.17274746
        -15.19708897          0.17081789
        -15.19442230          0.16894374
        -15.19175564          0.16712453
        -15.18908897          0.16535973
        -15.18642230          0.16364869
        -15.18375564          0.16199068
        -15.18108897          0.16038492
        -15.17842230          0.15883051
        -15.17575564          0.15732653
        -15.17308897          0.15587198
        -15.17042230          0.15446578
        -15.16775564          0.15310684
        -15.16508897          0.15179400
        -15.16242230          0.15052606
        -15.15975564          0.14930180
        -15.15708897          0.14811996
        -15.15442230          0.14697926
        -15.15175564          0.14587841
        -15.14908897          0.14481610
        -15.14642230          0.14379103
        -15.14375564          0.14280188
        -15.14108897          0.14184736
        -15.13842230          0.14092617
        -15.13575564          0.14003704
        -15.13308897          0.13917871
        -15.13042230          0.13834995
        -15.12775564          0.13754956
        -15.12508897          0.13677637
        -15.12242230          0.13602925
        -15.11975564          0.13530711
        -15.11708897          0.13460891
        -15.11442230          0.13393364
        -15.11175564          0.13328035
        -15.10908897          0.13264815
        -15.10642230          0.13203617
        -15.10375564          0.13144365
        -15.10108897          0.13086982
        -15.09842230          0.13031403
        -15.09575564          0.12977563
        -15.09308897          0.12925409
        -15.09042230          0.12874888
        -15.08775564          0.12825957
        -15.08508897          0.12778576
        -15.08242230          0.12732714
        -15.07975564          0.12688343
        -15.07708897          0.12645440
        -15.07442230          0.12603992
        -15.07175564          0.12563986
        -15.06908897          0.12525417
        -15.06642230          0.12488285
        -15.06375564          0.12452596
        -15.06108897          0.12418356
        -15.05842230          0.12385582
