# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -5.106263 eV
#    Energy (eV)      DOS 
        -14.89373679          0.17996603
        -14.89107013          0.17839362
        -14.88840346          0.17686875
        -14.88573679          0.17539083
        -14.88307013          0.17395923
        -14.88040346          0.17257335
        -14.87773679          0.17123255
        -14.87507013          0.16993623
        -14.87240346          0.16868375
        -14.86973679          0.16747449
        -14.86707013          0.16630786
        -14.86440346          0.16518323
        -14.86173679          0.16410004
        -14.85907013          0.16305770
        -14.85640346          0.16205565
        -14.85373679          0.16109335
        -14.85107013          0.16017029
        -14.84840346          0.15928596
        -14.84573679          0.15843989
        -14.84307013          0.15763162
        -14.84040346          0.15686072
        -14.83773679          0.15612680
        -14.83507013          0.15542946
        -14.83240346          0.15476837
        -14.82973679          0.15414319
        -14.82707013          0.15355363
        -14.82440346          0.15299941
        -14.82173679          0.15248029
        -14.81907013          0.15199605
        -14.81640346          0.15154649
        -14.81373679          0.15113144
        -14.81107013          0.15075077
        -14.80840346          0.15040434
        -14.80573679          0.15009207
        -14.80307013          0.14981388
        -14.80040346          0.14956971
        -14.79773679          0.14935954
        -14.79507013          0.14918335
        -14.79240346          0.14904114
        -14.78973679          0.14893295
        -14.78707013          0.14885880
        -14.78440346          0.14881877
        -14.78173679          0.14881292
        -14.77907013          0.14884133
        -14.77640346          0.14890411
        -14.77373679          0.14900136
        -14.77107013          0.14913321
        -14.76840346          0.14929979
        -14.76573679          0.14950123
        -14.76307013          0.14973769
        -14.76040346          0.15000932
        -14.75773679          0.15031628
        -14.75507013          0.15065874
        -14.75240346          0.15103686
        -14.74973679          0.15145084
        -14.74707013          0.15190083
        -14.74440346          0.15238703
        -14.74173679          0.15290961
        -14.73907013          0.15346876
        -14.73640346          0.15406466
        -14.73373679          0.15469748
        -14.73107013          0.15536742
        -14.72840346          0.15607463
        -14.72573679          0.15681929
        -14.72307013          0.15760158
        -14.72040346          0.15842165
        -14.71773679          0.15927965
        -14.71507013          0.16017575
        -14.71240346          0.16111006
        -14.70973679          0.16208274
        -14.70707013          0.16309389
        -14.70440346          0.16414362
        -14.70173679          0.16523204
        -14.69907013          0.16635922
        -14.69640346          0.16752523
        -14.69373679          0.16873013
        -14.69107013          0.16997395
        -14.68840346          0.17125670
        -14.68573679          0.17257839
        -14.68307013          0.17393898
        -14.68040346          0.17533843
        -14.67773679          0.17677667
        -14.67507013          0.17825361
        -14.67240346          0.17976912
        -14.66973679          0.18132306
        -14.66707013          0.18291525
        -14.66440346          0.18454547
        -14.66173679          0.18621349
        -14.65907013          0.18791905
        -14.65640346          0.18966182
        -14.65373679          0.19144148
        -14.65107013          0.19325765
        -14.64840346          0.19510991
        -14.64573679          0.19699782
        -14.64307013          0.19892089
        -14.64040346          0.20087860
        -14.63773679          0.20287037
        -14.63507013          0.20489560
        -14.63240346          0.20695365
        -14.62973679          0.20904383
        -14.62707013          0.21116542
        -14.62440346          0.21331764
        -14.62173679          0.21549970
        -14.61907013          0.21771075
        -14.61640346          0.21994989
        -14.61373679          0.22221622
        -14.61107013          0.22450876
        -14.60840346          0.22682653
        -14.60573679          0.22916848
        -14.60307013          0.23153355
        -14.60040346          0.23392064
        -14.59773679          0.23632862
        -14.59507013          0.23875632
        -14.59240346          0.24120255
        -14.58973679          0.24366610
        -14.58707013          0.24614573
        -14.58440346          0.24864017
        -14.58173679          0.25114813
        -14.57907013          0.25366833
        -14.57640346          0.25619943
        -14.57373679          0.25874012
        -14.57107013          0.26128904
        -14.56840346          0.26384485
        -14.56573679          0.26640620
        -14.56307013          0.26897171
        -14.56040346          0.27154004
        -14.55773679          0.27410982
        -14.55507013          0.27667969
        -14.55240346          0.27924831
        -14.54973679          0.28181432
        -14.54707013          0.28437641
        -14.54440346          0.28693324
        -14.54173679          0.28948351
        -14.53907013          0.29202593
        -14.53640346          0.29455923
        -14.53373679          0.29708216
        -14.53107013          0.29959348
        -14.52840346          0.30209198
        -14.52573679          0.30457648
        -14.52307013          0.30704582
        -14.52040346          0.30949885
