# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -2.383274 eV
#    Energy (eV)      DOS 
        -17.61672628          0.33938628
        -17.61405961          0.33910839
        -17.61139295          0.33884301
        -17.60872628          0.33859012
        -17.60605961          0.33834975
        -17.60339295          0.33812196
        -17.60072628          0.33790688
        -17.59805961          0.33770465
        -17.59539295          0.33751549
        -17.59272628          0.33733965
        -17.59005961          0.33717741
        -17.58739295          0.33702914
        -17.58472628          0.33689521
        -17.58205961          0.33677608
        -17.57939295          0.33667222
        -17.57672628          0.33658418
        -17.57405961          0.33651253
        -17.57139295          0.33645791
        -17.56872628          0.33642098
        -17.56605961          0.33640247
        -17.56339295          0.33640314
        -17.56072628          0.33642379
        -17.55805961          0.33646528
        -17.55539295          0.33652847
        -17.55272628          0.33661429
        -17.55005961          0.33672370
        -17.54739295          0.33685769
        -17.54472628          0.33701726
        -17.54205961          0.33720347
        -17.53939295          0.33741738
        -17.53672628          0.33766008
        -17.53405961          0.33793267
        -17.53139295          0.33823628
        -17.52872628          0.33857203
        -17.52605961          0.33894107
        -17.52339295          0.33934452
        -17.52072628          0.33978354
        -17.51805961          0.34025924
        -17.51539295          0.34077276
        -17.51272628          0.34132522
        -17.51005961          0.34191769
        -17.50739295          0.34255126
        -17.50472628          0.34322699
        -17.50205961          0.34394587
        -17.49939295          0.34470892
        -17.49672628          0.34551707
        -17.49405961          0.34637124
        -17.49139295          0.34727230
        -17.48872628          0.34822107
        -17.48605961          0.34921833
        -17.48339295          0.35026478
        -17.48072628          0.35136110
        -17.47805961          0.35250789
        -17.47539295          0.35370569
        -17.47272628          0.35495500
        -17.47005961          0.35625622
        -17.46739295          0.35760971
        -17.46472628          0.35901575
        -17.46205961          0.36047455
        -17.45939295          0.36198627
        -17.45672628          0.36355098
        -17.45405961          0.36516869
        -17.45139295          0.36683931
        -17.44872628          0.36856273
        -17.44605961          0.37033872
        -17.44339295          0.37216700
        -17.44072628          0.37404724
        -17.43805961          0.37597899
        -17.43539295          0.37796178
        -17.43272628          0.37999506
        -17.43005961          0.38207818
        -17.42739295          0.38421047
        -17.42472628          0.38639117
        -17.42205961          0.38861947
        -17.41939295          0.39089449
        -17.41672628          0.39321528
        -17.41405961          0.39558086
        -17.41139295          0.39799018
        -17.40872628          0.40044212
        -17.40605961          0.40293552
        -17.40339295          0.40546918
        -17.40072628          0.40804182
        -17.39805961          0.41065213
