# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -20.00000000          0.33938628
        -19.99733333          0.33910839
        -19.99466667          0.33884301
        -19.99200000          0.33859012
        -19.98933333          0.33834975
        -19.98666667          0.33812196
        -19.98400000          0.33790688
        -19.98133333          0.33770465
        -19.97866667          0.33751549
        -19.97600000          0.33733965
        -19.97333333          0.33717741
        -19.97066667          0.33702914
        -19.96800000          0.33689521
        -19.96533333          0.33677608
        -19.96266667          0.33667222
        -19.96000000          0.33658418
        -19.95733333          0.33651253
        -19.95466667          0.33645791
        -19.95200000          0.33642098
        -19.94933333          0.33640247
        -19.94666667          0.33640314
        -19.94400000          0.33642379
        -19.94133333          0.33646528
        -19.93866667          0.33652847
        -19.93600000          0.33661429
        -19.93333333          0.33672370
        -19.93066667          0.33685769
        -19.92800000          0.33701726
        -19.92533333          0.33720347
        -19.92266667          0.33741738
        -19.92000000          0.33766008
        -19.91733333          0.33793267
        -19.91466667          0.33823628
        -19.91200000          0.33857203
        -19.90933333          0.33894107
        -19.90666667          0.33934452
        -19.90400000          0.33978354
        -19.90133333          0.34025924
        -19.89866667          0.34077276
        -19.89600000          0.34132522
        -19.89333333          0.34191769
        -19.89066667          0.34255126
        -19.88800000          0.34322699
        -19.88533333          0.34394587
        -19.88266667          0.34470892
        -19.88000000          0.34551707
        -19.87733333          0.34637124
        -19.87466667          0.34727230
        -19.87200000          0.34822107
        -19.86933333          0.34921833
        -19.86666667          0.35026478
        -19.86400000          0.35136110
        -19.86133333          0.35250789
        -19.85866667          0.35370569
        -19.85600000          0.35495500
        -19.85333333          0.35625622
        -19.85066667          0.35760971
        -19.84800000          0.35901575
        -19.84533333          0.36047455
        -19.84266667          0.36198627
        -19.84000000          0.36355098
        -19.83733333          0.36516869
        -19.83466667          0.36683931
        -19.83200000          0.36856273
        -19.82933333          0.37033872
        -19.82666667          0.37216700
        -19.82400000          0.37404724
        -19.82133333          0.37597899
        -19.81866667          0.37796178
        -19.81600000          0.37999506
        -19.81333333          0.38207818
        -19.81066667          0.38421047
        -19.80800000          0.38639117
        -19.80533333          0.38861947
        -19.80266667          0.39089449
        -19.80000000          0.39321528
        -19.79733333          0.39558086
        -19.79466667          0.39799018
        -19.79200000          0.40044212
        -19.78933333          0.40293552
        -19.78666667          0.40546918
        -19.78400000          0.40804182
        -19.78133333          0.41065213
        -19.77866667          0.41329876
        -19.77600000          0.41598029
        -19.77333333          0.41869528
        -19.77066667          0.42144222
        -19.76800000          0.42421958
        -19.76533333          0.42702577
        -19.76266667          0.42985918
        -19.76000000          0.43271813
        -19.75733333          0.43560094
        -19.75466667          0.43850586
        -19.75200000          0.44143112
        -19.74933333          0.44437491
        -19.74666667          0.44733538
        -19.74400000          0.45031065
        -19.74133333          0.45329881
        -19.73866667          0.45629791
        -19.73600000          0.45930599
        -19.73333333          0.46232102
        -19.73066667          0.46534097
        -19.72800000          0.46836379
        -19.72533333          0.47138738
        -19.72266667          0.47440963
        -19.72000000          0.47742841
        -19.71733333          0.48044155
        -19.71466667          0.48344688
        -19.71200000          0.48644222
        -19.70933333          0.48942534
        -19.70666667          0.49239405
        -19.70400000          0.49534611
        -19.70133333          0.49827930
        -19.69866667          0.50119138
        -19.69600000          0.50408014
        -19.69333333          0.50694334
        -19.69066667          0.50977878
        -19.68800000          0.51258427
        -19.68533333          0.51535763
        -19.68266667          0.51809671
        -19.68000000          0.52079940
        -19.67733333          0.52346360
        -19.67466667          0.52608728
        -19.67200000          0.52866845
        -19.66933333          0.53120515
        -19.66666667          0.53369550
        -19.66400000          0.53613769
        -19.66133333          0.53852996
        -19.65866667          0.54087064
        -19.65600000          0.54315814
        -19.65333333          0.54539095
        -19.65066667          0.54756767
        -19.64800000          0.54968699
        -19.64533333          0.55174770
        -19.64266667          0.55374873
        -19.64000000          0.55568910
        -19.63733333          0.55756795
        -19.63466667          0.55938456
        -19.63200000          0.56113834
        -19.62933333          0.56282884
        -19.62666667          0.56445573
        -19.62400000          0.56601883
        -19.62133333          0.56751813
        -19.61866667          0.56895372
        -19.61600000          0.57032589
        -19.61333333          0.57163504
        -19.61066667          0.57288174
        -19.60800000          0.57406671
        -19.60533333          0.57519082
        -19.60266667          0.57625509
        -19.60000000          0.57726068
        -19.59733333          0.57820891
        -19.59466667          0.57910124
        -19.59200000          0.57993925
        -19.58933333          0.58072468
        -19.58666667          0.58145938
        -19.58400000          0.58214535
        -19.58133333          0.58278468
        -19.57866667          0.58337959
        -19.57600000          0.58393241
        -19.57333333          0.58444554
        -19.57066667          0.58492149
        -19.56800000          0.58536286
        -19.56533333          0.58577229
        -19.56266667          0.58615252
        -19.56000000          0.58650631
        -19.55733333          0.58683646
        -19.55466667          0.58714584
        -19.55200000          0.58743729
        -19.54933333          0.58771369
        -19.54666667          0.58797791
        -19.54400000          0.58823280
        -19.54133333          0.58848120
        -19.53866667          0.58872589
        -19.53600000          0.58896962
        -19.53333333          0.58921507
        -19.53066667          0.58946487
        -19.52800000          0.58972153
        -19.52533333          0.58998750
        -19.52266667          0.59026512
        -19.52000000          0.59055660
        -19.51733333          0.59086404
        -19.51466667          0.59118941
        -19.51200000          0.59153454
        -19.50933333          0.59190108
        -19.50666667          0.59229055
        -19.50400000          0.59270430
        -19.50133333          0.59314351
        -19.49866667          0.59360915
        -19.49600000          0.59410204
        -19.49333333          0.59462280
        -19.49066667          0.59517184
        -19.48800000          0.59574939
        -19.48533333          0.59635546
        -19.48266667          0.59698988
        -19.48000000          0.59765226
        -19.47733333          0.59834199
        -19.47466667          0.59905829
        -19.47200000          0.59980015
        -19.46933333          0.60056636
        -19.46666667          0.60135551
        -19.46400000          0.60216600
        -19.46133333          0.60299604
        -19.45866667          0.60384363
        -19.45600000          0.60470660
        -19.45333333          0.60558262
        -19.45066667          0.60646915
        -19.44800000          0.60736352
        -19.44533333          0.60826290
        -19.44266667          0.60916430
        -19.44000000          0.61006461
        -19.43733333          0.61096057
        -19.43466667          0.61184883
        -19.43200000          0.61272593
        -19.42933333          0.61358829
        -19.42666667          0.61443227
        -19.42400000          0.61525417
        -19.42133333          0.61605019
        -19.41866667          0.61681653
        -19.41600000          0.61754934
        -19.41333333          0.61824473
        -19.41066667          0.61889885
        -19.40800000          0.61950780
        -19.40533333          0.62006776
        -19.40266667          0.62057490
        -19.40000000          0.62102545
        -19.39733333          0.62141572
        -19.39466667          0.62174208
        -19.39200000          0.62200099
        -19.38933333          0.62218900
        -19.38666667          0.62230280
        -19.38400000          0.62233920
        -19.38133333          0.62229513
        -19.37866667          0.62216769
        -19.37600000          0.62195415
        -19.37333333          0.62165193
        -19.37066667          0.62125866
        -19.36800000          0.62077216
        -19.36533333          0.62019043
        -19.36266667          0.61951173
        -19.36000000          0.61873450
        -19.35733333          0.61785743
        -19.35466667          0.61687945
        -19.35200000          0.61579973
        -19.34933333          0.61461770
        -19.34666667          0.61333301
        -19.34400000          0.61194562
        -19.34133333          0.61045572
        -19.33866667          0.60886376
        -19.33600000          0.60717049
        -19.33333333          0.60537690
        -19.33066667          0.60348425
        -19.32800000          0.60149408
        -19.32533333          0.59940820
        -19.32266667          0.59722866
        -19.32000000          0.59495779
        -19.31733333          0.59259818
        -19.31466667          0.59015266
        -19.31200000          0.58762430
        -19.30933333          0.58501643
        -19.30666667          0.58233260
        -19.30400000          0.57957659
        -19.30133333          0.57675237
        -19.29866667          0.57386416
        -19.29600000          0.57091633
        -19.29333333          0.56791347
        -19.29066667          0.56486032
        -19.28800000          0.56176178
        -19.28533333          0.55862292
        -19.28266667          0.55544891
        -19.28000000          0.55224506
        -19.27733333          0.54901679
        -19.27466667          0.54576959
        -19.27200000          0.54250904
        -19.26933333          0.53924078
        -19.26666667          0.53597049
        -19.26400000          0.53270386
        -19.26133333          0.52944663
        -19.25866667          0.52620449
        -19.25600000          0.52298313
        -19.25333333          0.51978821
        -19.25066667          0.51662533
        -19.24800000          0.51349999
        -19.24533333          0.51041764
        -19.24266667          0.50738360
        -19.24000000          0.50440309
        -19.23733333          0.50148118
        -19.23466667          0.49862278
        -19.23200000          0.49583265
        -19.22933333          0.49311536
        -19.22666667          0.49047530
        -19.22400000          0.48791663
        -19.22133333          0.48544329
        -19.21866667          0.48305900
        -19.21600000          0.48076723
        -19.21333333          0.47857118
        -19.21066667          0.47647379
        -19.20800000          0.47447774
        -19.20533333          0.47258540
        -19.20266667          0.47079886
        -19.20000000          0.46911990
        -19.19733333          0.46755001
        -19.19466667          0.46609034
        -19.19200000          0.46474176
        -19.18933333          0.46350479
        -19.18666667          0.46237964
        -19.18400000          0.46136620
        -19.18133333          0.46046404
        -19.17866667          0.45967239
        -19.17600000          0.45899017
        -19.17333333          0.45841598
        -19.17066667          0.45794811
        -19.16800000          0.45758452
        -19.16533333          0.45732289
        -19.16266667          0.45716057
        -19.16000000          0.45709466
        -19.15733333          0.45712193
        -19.15466667          0.45723890
        -19.15200000          0.45744184
