# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -20.00000000          0.38373191
        -19.99733333          0.38321283
        -19.99466667          0.38273306
        -19.99200000          0.38229270
        -19.98933333          0.38189174
        -19.98666667          0.38153001
        -19.98400000          0.38120726
        -19.98133333          0.38092310
        -19.97866667          0.38067704
        -19.97600000          0.38046847
        -19.97333333          0.38029670
        -19.97066667          0.38016091
        -19.96800000          0.38006020
        -19.96533333          0.37999358
        -19.96266667          0.37995997
        -19.96000000          0.37995820
        -19.95733333          0.37998704
        -19.95466667          0.38004519
        -19.95200000          0.38013128
        -19.94933333          0.38024388
        -19.94666667          0.38038152
        -19.94400000          0.38054266
        -19.94133333          0.38072576
        -19.93866667          0.38092923
        -19.93600000          0.38115144
        -19.93333333          0.38139077
        -19.93066667          0.38164558
        -19.92800000          0.38191420
        -19.92533333          0.38219501
        -19.92266667          0.38248636
        -19.92000000          0.38278663
        -19.91733333          0.38309423
        -19.91466667          0.38340759
        -19.91200000          0.38372516
        -19.90933333          0.38404545
        -19.90666667          0.38436703
        -19.90400000          0.38468848
        -19.90133333          0.38500847
        -19.89866667          0.38532573
        -19.89600000          0.38563903
        -19.89333333          0.38594725
        -19.89066667          0.38624930
        -19.88800000          0.38654421
        -19.88533333          0.38683106
        -19.88266667          0.38710903
        -19.88000000          0.38737739
        -19.87733333          0.38763548
        -19.87466667          0.38788274
        -19.87200000          0.38811870
        -19.86933333          0.38834298
        -19.86666667          0.38855529
        -19.86400000          0.38875543
        -19.86133333          0.38894329
        -19.85866667          0.38911885
        -19.85600000          0.38928218
        -19.85333333          0.38943342
        -19.85066667          0.38957280
        -19.84800000          0.38970064
        -19.84533333          0.38981731
        -19.84266667          0.38992328
        -19.84000000          0.39001906
        -19.83733333          0.39010524
        -19.83466667          0.39018245
        -19.83200000          0.39025140
        -19.82933333          0.39031283
        -19.82666667          0.39036751
        -19.82400000          0.39041627
        -19.82133333          0.39045995
        -19.81866667          0.39049943
        -19.81600000          0.39053558
        -19.81333333          0.39056931
        -19.81066667          0.39060153
        -19.80800000          0.39063312
        -19.80533333          0.39066498
        -19.80266667          0.39069798
        -19.80000000          0.39073299
        -19.79733333          0.39077081
        -19.79466667          0.39081226
        -19.79200000          0.39085807
        -19.78933333          0.39090897
        -19.78666667          0.39096560
        -19.78400000          0.39102857
        -19.78133333          0.39109842
        -19.77866667          0.39117564
        -19.77600000          0.39126063
        -19.77333333          0.39135374
        -19.77066667          0.39145522
        -19.76800000          0.39156526
        -19.76533333          0.39168398
        -19.76266667          0.39181140
        -19.76000000          0.39194745
        -19.75733333          0.39209200
        -19.75466667          0.39224483
        -19.75200000          0.39240561
        -19.74933333          0.39257397
        -19.74666667          0.39274941
        -19.74400000          0.39293139
        -19.74133333          0.39311926
        -19.73866667          0.39331231
        -19.73600000          0.39350975
        -19.73333333          0.39371073
        -19.73066667          0.39391431
        -19.72800000          0.39411951
        -19.72533333          0.39432527
        -19.72266667          0.39453050
        -19.72000000          0.39473404
        -19.71733333          0.39493470
        -19.71466667          0.39513124
        -19.71200000          0.39532239
        -19.70933333          0.39550687
        -19.70666667          0.39568336
        -19.70400000          0.39585053
        -19.70133333          0.39600705
        -19.69866667          0.39615157
        -19.69600000          0.39628276
        -19.69333333          0.39639931
        -19.69066667          0.39649990
        -19.68800000          0.39658325
        -19.68533333          0.39664812
        -19.68266667          0.39669327
        -19.68000000          0.39671754
        -19.67733333          0.39671980
        -19.67466667          0.39669895
        -19.67200000          0.39665399
        -19.66933333          0.39658395
        -19.66666667          0.39648794
        -19.66400000          0.39636512
        -19.66133333          0.39621475
        -19.65866667          0.39603616
        -19.65600000          0.39582874
        -19.65333333          0.39559198
        -19.65066667          0.39532545
        -19.64800000          0.39502882
        -19.64533333          0.39470183
        -19.64266667          0.39434432
        -19.64000000          0.39395621
        -19.63733333          0.39353751
        -19.63466667          0.39308834
        -19.63200000          0.39260888
        -19.62933333          0.39209943
        -19.62666667          0.39156036
        -19.62400000          0.39099211
        -19.62133333          0.39039524
        -19.61866667          0.38977037
        -19.61600000          0.38911820
        -19.61333333          0.38843951
        -19.61066667          0.38773516
        -19.60800000          0.38700608
        -19.60533333          0.38625325
        -19.60266667          0.38547773
        -19.60000000          0.38468064
        -19.59733333          0.38386315
        -19.59466667          0.38302649
        -19.59200000          0.38217194
        -19.58933333          0.38130080
        -19.58666667          0.38041445
        -19.58400000          0.37951428
        -19.58133333          0.37860170
        -19.57866667          0.37767820
        -19.57600000          0.37674523
        -19.57333333          0.37580430
        -19.57066667          0.37485693
        -19.56800000          0.37390464
        -19.56533333          0.37294898
        -19.56266667          0.37199149
        -19.56000000          0.37103371
        -19.55733333          0.37007720
        -19.55466667          0.36912348
        -19.55200000          0.36817410
        -19.54933333          0.36723058
        -19.54666667          0.36629442
        -19.54400000          0.36536714
        -19.54133333          0.36445022
        -19.53866667          0.36354510
        -19.53600000          0.36265325
        -19.53333333          0.36177608
        -19.53066667          0.36091500
        -19.52800000          0.36007136
        -19.52533333          0.35924654
        -19.52266667          0.35844184
        -19.52000000          0.35765856
        -19.51733333          0.35689798
        -19.51466667          0.35616133
        -19.51200000          0.35544982
        -19.50933333          0.35476463
        -19.50666667          0.35410691
        -19.50400000          0.35347780
        -19.50133333          0.35287836
        -19.49866667          0.35230968
        -19.49600000          0.35177277
        -19.49333333          0.35126863
        -19.49066667          0.35079823
        -19.48800000          0.35036251
        -19.48533333          0.34996236
        -19.48266667          0.34959866
        -19.48000000          0.34927224
        -19.47733333          0.34898391
        -19.47466667          0.34873442
        -19.47200000          0.34852452
        -19.46933333          0.34835489
        -19.46666667          0.34822619
