# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -5.097266 eV
#    Energy (eV)      DOS 
        -14.90273374          0.65142146
        -14.90006707          0.65248031
        -14.89740040          0.65352970
        -14.89473374          0.65456747
        -14.89206707          0.65559141
        -14.88940040          0.65659937
        -14.88673374          0.65758918
        -14.88406707          0.65855870
        -14.88140040          0.65950581
        -14.87873374          0.66042840
        -14.87606707          0.66132443
        -14.87340040          0.66219187
        -14.87073374          0.66302875
        -14.86806707          0.66383316
        -14.86540040          0.66460324
        -14.86273374          0.66533719
        -14.86006707          0.66603330
        -14.85740040          0.66668993
        -14.85473374          0.66730554
        -14.85206707          0.66787869
        -14.84940040          0.66840801
        -14.84673374          0.66889228
        -14.84406707          0.66933038
        -14.84140040          0.66972131
        -14.83873374          0.67006420
        -14.83606707          0.67035832
        -14.83340040          0.67060309
        -14.83073374          0.67079806
        -14.82806707          0.67094295
        -14.82540040          0.67103764
        -14.82273374          0.67108215
        -14.82006707          0.67107668
        -14.81740040          0.67102160
        -14.81473374          0.67091746
        -14.81206707          0.67076496
        -14.80940040          0.67056499
        -14.80673374          0.67031862
        -14.80406707          0.67002707
        -14.80140040          0.66969176
        -14.79873374          0.66931427
        -14.79606707          0.66889635
        -14.79340040          0.66843990
        -14.79073374          0.66794701
        -14.78806707          0.66741990
        -14.78540040          0.66686095
        -14.78273374          0.66627268
        -14.78006707          0.66565775
        -14.77740040          0.66501893
        -14.77473374          0.66435913
        -14.77206707          0.66368133
        -14.76940040          0.66298865
        -14.76673374          0.66228425
        -14.76406707          0.66157140
        -14.76140040          0.66085340
        -14.75873374          0.66013361
        -14.75606707          0.65941541
        -14.75340040          0.65870220
        -14.75073374          0.65799739
        -14.74806707          0.65730437
        -14.74540040          0.65662651
        -14.74273374          0.65596712
        -14.74006707          0.65532945
        -14.73740040          0.65471670
        -14.73473374          0.65413195
        -14.73206707          0.65357820
        -14.72940040          0.65305830
        -14.72673374          0.65257498
        -14.72406707          0.65213082
        -14.72140040          0.65172824
        -14.71873374          0.65136946
        -14.71606707          0.65105653
        -14.71340040          0.65079129
        -14.71073374          0.65057535
        -14.70806707          0.65041012
        -14.70540040          0.65029675
        -14.70273374          0.65023616
        -14.70006707          0.65022900
        -14.69740040          0.65027569
        -14.69473374          0.65037635
        -14.69206707          0.65053086
        -14.68940040          0.65073880
        -14.68673374          0.65099949
        -14.68406707          0.65131197
        -14.68140040          0.65167499
        -14.67873374          0.65208705
        -14.67606707          0.65254635
        -14.67340040          0.65305083
        -14.67073374          0.65359817
        -14.66806707          0.65418579
        -14.66540040          0.65481085
        -14.66273374          0.65547027
        -14.66006707          0.65616074
        -14.65740040          0.65687872
        -14.65473374          0.65762047
        -14.65206707          0.65838204
        -14.64940040          0.65915930
        -14.64673374          0.65994794
        -14.64406707          0.66074350
        -14.64140040          0.66154138
        -14.63873374          0.66233684
        -14.63606707          0.66312506
        -14.63340040          0.66390110
        -14.63073374          0.66465995
        -14.62806707          0.66539656
        -14.62540040          0.66610583
        -14.62273374          0.66678264
        -14.62006707          0.66742185
        -14.61740040          0.66801837
        -14.61473374          0.66856712
        -14.61206707          0.66906306
        -14.60940040          0.66950124
        -14.60673374          0.66987678
        -14.60406707          0.67018490
        -14.60140040          0.67042093
        -14.59873374          0.67058034
        -14.59606707          0.67065874
        -14.59340040          0.67065189
        -14.59073374          0.67055573
        -14.58806707          0.67036638
        -14.58540040          0.67008013
        -14.58273374          0.66969351
        -14.58006707          0.66920323
        -14.57740040          0.66860624
        -14.57473374          0.66789969
        -14.57206707          0.66708098
        -14.56940040          0.66614775
        -14.56673374          0.66509787
        -14.56406707          0.66392946
        -14.56140040          0.66264088
        -14.55873374          0.66123072
        -14.55606707          0.65969786
        -14.55340040          0.65804137
        -14.55073374          0.65626060
        -14.54806707          0.65435513
        -14.54540040          0.65232477
        -14.54273374          0.65016957
        -14.54006707          0.64788979
        -14.53740040          0.64548593
        -14.53473374          0.64295870
        -14.53206707          0.64030899
        -14.52940040          0.63753793
