# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -20.00000000          0.65142146
        -19.99733333          0.65248031
        -19.99466667          0.65352970
        -19.99200000          0.65456747
        -19.98933333          0.65559141
        -19.98666667          0.65659937
        -19.98400000          0.65758918
        -19.98133333          0.65855870
        -19.97866667          0.65950581
        -19.97600000          0.66042840
        -19.97333333          0.66132443
        -19.97066667          0.66219187
        -19.96800000          0.66302875
        -19.96533333          0.66383316
        -19.96266667          0.66460324
        -19.96000000          0.66533719
        -19.95733333          0.66603330
        -19.95466667          0.66668993
        -19.95200000          0.66730554
        -19.94933333          0.66787869
        -19.94666667          0.66840801
        -19.94400000          0.66889228
        -19.94133333          0.66933038
        -19.93866667          0.66972131
        -19.93600000          0.67006420
        -19.93333333          0.67035832
        -19.93066667          0.67060309
        -19.92800000          0.67079806
        -19.92533333          0.67094295
        -19.92266667          0.67103764
        -19.92000000          0.67108215
        -19.91733333          0.67107668
        -19.91466667          0.67102160
        -19.91200000          0.67091746
        -19.90933333          0.67076496
        -19.90666667          0.67056499
        -19.90400000          0.67031862
        -19.90133333          0.67002707
        -19.89866667          0.66969176
        -19.89600000          0.66931427
        -19.89333333          0.66889635
        -19.89066667          0.66843990
        -19.88800000          0.66794701
        -19.88533333          0.66741990
        -19.88266667          0.66686095
        -19.88000000          0.66627268
        -19.87733333          0.66565775
        -19.87466667          0.66501893
        -19.87200000          0.66435913
        -19.86933333          0.66368133
        -19.86666667          0.66298865
        -19.86400000          0.66228425
        -19.86133333          0.66157140
        -19.85866667          0.66085340
        -19.85600000          0.66013361
        -19.85333333          0.65941541
        -19.85066667          0.65870220
        -19.84800000          0.65799739
        -19.84533333          0.65730437
        -19.84266667          0.65662651
        -19.84000000          0.65596712
        -19.83733333          0.65532945
        -19.83466667          0.65471670
        -19.83200000          0.65413195
        -19.82933333          0.65357820
        -19.82666667          0.65305830
        -19.82400000          0.65257498
        -19.82133333          0.65213082
        -19.81866667          0.65172824
        -19.81600000          0.65136946
        -19.81333333          0.65105653
        -19.81066667          0.65079129
        -19.80800000          0.65057535
        -19.80533333          0.65041012
        -19.80266667          0.65029675
        -19.80000000          0.65023616
        -19.79733333          0.65022900
        -19.79466667          0.65027569
        -19.79200000          0.65037635
        -19.78933333          0.65053086
        -19.78666667          0.65073880
        -19.78400000          0.65099949
        -19.78133333          0.65131197
        -19.77866667          0.65167499
        -19.77600000          0.65208705
        -19.77333333          0.65254635
        -19.77066667          0.65305083
        -19.76800000          0.65359817
        -19.76533333          0.65418579
        -19.76266667          0.65481085
        -19.76000000          0.65547027
        -19.75733333          0.65616074
        -19.75466667          0.65687872
        -19.75200000          0.65762047
        -19.74933333          0.65838204
        -19.74666667          0.65915930
        -19.74400000          0.65994794
        -19.74133333          0.66074350
        -19.73866667          0.66154138
        -19.73600000          0.66233684
        -19.73333333          0.66312506
        -19.73066667          0.66390110
        -19.72800000          0.66465995
        -19.72533333          0.66539656
        -19.72266667          0.66610583
        -19.72000000          0.66678264
        -19.71733333          0.66742185
        -19.71466667          0.66801837
        -19.71200000          0.66856712
        -19.70933333          0.66906306
        -19.70666667          0.66950124
        -19.70400000          0.66987678
        -19.70133333          0.67018490
        -19.69866667          0.67042093
        -19.69600000          0.67058034
        -19.69333333          0.67065874
        -19.69066667          0.67065189
        -19.68800000          0.67055573
        -19.68533333          0.67036638
        -19.68266667          0.67008013
        -19.68000000          0.66969351
        -19.67733333          0.66920323
        -19.67466667          0.66860624
        -19.67200000          0.66789969
        -19.66933333          0.66708098
        -19.66666667          0.66614775
        -19.66400000          0.66509787
        -19.66133333          0.66392946
        -19.65866667          0.66264088
        -19.65600000          0.66123072
        -19.65333333          0.65969786
        -19.65066667          0.65804137
        -19.64800000          0.65626060
        -19.64533333          0.65435513
        -19.64266667          0.65232477
        -19.64000000          0.65016957
        -19.63733333          0.64788979
        -19.63466667          0.64548593
        -19.63200000          0.64295870
        -19.62933333          0.64030899
        -19.62666667          0.63753793
        -19.62400000          0.63464681
        -19.62133333          0.63163712
        -19.61866667          0.62851051
        -19.61600000          0.62526881
        -19.61333333          0.62191400
        -19.61066667          0.61844819
        -19.60800000          0.61487366
        -19.60533333          0.61119279
        -19.60266667          0.60740808
        -19.60000000          0.60352215
        -19.59733333          0.59953772
        -19.59466667          0.59545759
        -19.59200000          0.59128465
        -19.58933333          0.58702186
        -19.58666667          0.58267224
        -19.58400000          0.57823888
        -19.58133333          0.57372490
        -19.57866667          0.56913348
        -19.57600000          0.56446783
        -19.57333333          0.55973118
        -19.57066667          0.55492680
        -19.56800000          0.55005796
        -19.56533333          0.54512796
        -19.56266667          0.54014008
        -19.56000000          0.53509764
        -19.55733333          0.53000393
        -19.55466667          0.52486225
        -19.55200000          0.51967589
        -19.54933333          0.51444813
        -19.54666667          0.50918224
        -19.54400000          0.50388149
        -19.54133333          0.49854910
        -19.53866667          0.49318832
        -19.53600000          0.48780234
        -19.53333333          0.48239436
        -19.53066667          0.47696756
        -19.52800000          0.47152508
        -19.52533333          0.46607007
        -19.52266667          0.46060564
        -19.52000000          0.45513490
        -19.51733333          0.44966092
        -19.51466667          0.44418677
        -19.51200000          0.43871549
        -19.50933333          0.43325010
        -19.50666667          0.42779362
        -19.50400000          0.42234904
        -19.50133333          0.41691932
        -19.49866667          0.41150743
        -19.49600000          0.40611628
        -19.49333333          0.40074881
        -19.49066667          0.39540790
        -19.48800000          0.39009642
        -19.48533333          0.38481723
        -19.48266667          0.37957315
        -19.48000000          0.37436699
        -19.47733333          0.36920151
        -19.47466667          0.36407947
        -19.47200000          0.35900358
        -19.46933333          0.35397651
        -19.46666667          0.34900092
        -19.46400000          0.34407941
        -19.46133333          0.33921453
        -19.45866667          0.33440882
        -19.45600000          0.32966472
        -19.45333333          0.32498468
        -19.45066667          0.32037103
        -19.44800000          0.31582609
        -19.44533333          0.31135209
        -19.44266667          0.30695120
        -19.44000000          0.30262551
        -19.43733333          0.29837707
        -19.43466667          0.29420779
        -19.43200000          0.29011956
        -19.42933333          0.28611413
        -19.42666667          0.28219320
        -19.42400000          0.27835835
        -19.42133333          0.27461106
        -19.41866667          0.27095273
        -19.41600000          0.26738463
        -19.41333333          0.26390794
        -19.41066667          0.26052372
        -19.40800000          0.25723291
        -19.40533333          0.25403634
        -19.40266667          0.25093471
        -19.40000000          0.24792862
        -19.39733333          0.24501854
        -19.39466667          0.24220478
        -19.39200000          0.23948758
        -19.38933333          0.23686701
        -19.38666667          0.23434303
        -19.38400000          0.23191548
        -19.38133333          0.22958405
        -19.37866667          0.22734833
        -19.37600000          0.22520775
        -19.37333333          0.22316166
        -19.37066667          0.22120925
        -19.36800000          0.21934961
        -19.36533333          0.21758169
        -19.36266667          0.21590435
        -19.36000000          0.21431632
        -19.35733333          0.21281623
        -19.35466667          0.21140260
        -19.35200000          0.21007385
        -19.34933333          0.20882830
        -19.34666667          0.20766419
        -19.34400000          0.20657965
        -19.34133333          0.20557275
        -19.33866667          0.20464148
        -19.33600000          0.20378375
        -19.33333333          0.20299741
        -19.33066667          0.20228027
        -19.32800000          0.20163006
        -19.32533333          0.20104449
        -19.32266667          0.20052121
        -19.32000000          0.20005786
        -19.31733333          0.19965203
        -19.31466667          0.19930134
        -19.31200000          0.19900334
        -19.30933333          0.19875563
        -19.30666667          0.19855578
        -19.30400000          0.19840138
        -19.30133333          0.19829006
        -19.29866667          0.19821944
        -19.29600000          0.19818720
        -19.29333333          0.19819105
        -19.29066667          0.19822874
        -19.28800000          0.19829807
        -19.28533333          0.19839691
        -19.28266667          0.19852318
        -19.28000000          0.19867488
        -19.27733333          0.19885008
        -19.27466667          0.19904691
        -19.27200000          0.19926361
        -19.26933333          0.19949849
        -19.26666667          0.19974995
        -19.26400000          0.20001649
        -19.26133333          0.20029670
        -19.25866667          0.20058928
        -19.25600000          0.20089299
        -19.25333333          0.20120675
        -19.25066667          0.20152953
        -19.24800000          0.20186043
        -19.24533333          0.20219864
        -19.24266667          0.20254346
        -19.24000000          0.20289427
        -19.23733333          0.20325056
        -19.23466667          0.20361193
        -19.23200000          0.20397803
        -19.22933333          0.20434864
        -19.22666667          0.20472361
        -19.22400000          0.20510287
        -19.22133333          0.20548641
        -19.21866667          0.20587433
        -19.21600000          0.20626676
        -19.21333333          0.20666390
        -19.21066667          0.20706602
        -19.20800000          0.20747342
        -19.20533333          0.20788644
        -19.20266667          0.20830546
        -19.20000000          0.20873089
        -19.19733333          0.20916317
        -19.19466667          0.20960273
        -19.19200000          0.21005001
        -19.18933333          0.21050547
        -19.18666667          0.21096955
        -19.18400000          0.21144266
        -19.18133333          0.21192521
        -19.17866667          0.21241756
        -19.17600000          0.21292005
        -19.17333333          0.21343298
        -19.17066667          0.21395658
        -19.16800000          0.21449105
        -19.16533333          0.21503651
        -19.16266667          0.21559304
        -19.16000000          0.21616062
        -19.15733333          0.21673918
        -19.15466667          0.21732857
        -19.15200000          0.21792855
        -19.14933333          0.21853880
        -19.14666667          0.21915893
        -19.14400000          0.21978844
        -19.14133333          0.22042676
        -19.13866667          0.22107323
        -19.13600000          0.22172710
        -19.13333333          0.22238754
        -19.13066667          0.22305363
        -19.12800000          0.22372437
        -19.12533333          0.22439868
        -19.12266667          0.22507540
        -19.12000000          0.22575331
        -19.11733333          0.22643110
        -19.11466667          0.22710744
        -19.11200000          0.22778089
        -19.10933333          0.22844999
        -19.10666667          0.22911323
        -19.10400000          0.22976906
        -19.10133333          0.23041590
        -19.09866667          0.23105215
        -19.09600000          0.23167617
        -19.09333333          0.23228635
        -19.09066667          0.23288105
        -19.08800000          0.23345865
        -19.08533333          0.23401755
        -19.08266667          0.23455615
        -19.08000000          0.23507290
        -19.07733333          0.23556631
        -19.07466667          0.23603490
        -19.07200000          0.23647727
        -19.06933333          0.23689208
        -19.06666667          0.23727805
        -19.06400000          0.23763400
        -19.06133333          0.23795882
        -19.05866667          0.23825149
        -19.05600000          0.23851109
        -19.05333333          0.23873682
        -19.05066667          0.23892795
        -19.04800000          0.23908389
        -19.04533333          0.23920417
        -19.04266667          0.23928842
        -19.04000000          0.23933640
        -19.03733333          0.23934799
        -19.03466667          0.23932320
        -19.03200000          0.23926218
        -19.02933333          0.23916517
        -19.02666667          0.23903256
        -19.02400000          0.23886487
        -19.02133333          0.23866272
        -19.01866667          0.23842687
        -19.01600000          0.23815818
        -19.01333333          0.23785763
        -19.01066667          0.23752633
        -19.00800000          0.23716545
        -19.00533333          0.23677629
        -19.00266667          0.23636025
        -19.00000000          0.23591878
        -18.99733333          0.23545344
        -18.99466667          0.23496585
        -18.99200000          0.23445771
        -18.98933333          0.23393076
        -18.98666667          0.23338679
        -18.98400000          0.23282764
        -18.98133333          0.23225517
        -18.97866667          0.23167129
        -18.97600000          0.23107789
        -18.97333333          0.23047688
        -18.97066667          0.22987019
        -18.96800000          0.22925969
        -18.96533333          0.22864728
        -18.96266667          0.22803480
        -18.96000000          0.22742407
        -18.95733333          0.22681684
        -18.95466667          0.22621484
        -18.95200000          0.22561971
        -18.94933333          0.22503305
        -18.94666667          0.22445635
        -18.94400000          0.22389105
        -18.94133333          0.22333848
        -18.93866667          0.22279990
        -18.93600000          0.22227644
        -18.93333333          0.22176916
        -18.93066667          0.22127898
        -18.92800000          0.22080674
        -18.92533333          0.22035314
        -18.92266667          0.21991876
        -18.92000000          0.21950410
        -18.91733333          0.21910948
        -18.91466667          0.21873515
        -18.91200000          0.21838120
        -18.90933333          0.21804762
        -18.90666667          0.21773426
        -18.90400000          0.21744087
        -18.90133333          0.21716706
        -18.89866667          0.21691232
        -18.89600000          0.21667606
        -18.89333333          0.21645753
        -18.89066667          0.21625590
        -18.88800000          0.21607022
        -18.88533333          0.21589946
        -18.88266667          0.21574247
        -18.88000000          0.21559802
        -18.87733333          0.21546479
        -18.87466667          0.21534138
        -18.87200000          0.21522631
        -18.86933333          0.21511805
        -18.86666667          0.21501498
        -18.86400000          0.21491543
        -18.86133333          0.21481770
        -18.85866667          0.21472002
        -18.85600000          0.21462059
        -18.85333333          0.21451758
        -18.85066667          0.21440915
        -18.84800000          0.21429342
        -18.84533333          0.21416852
        -18.84266667          0.21403254
        -18.84000000          0.21388362
        -18.83733333          0.21371988
        -18.83466667          0.21353946
        -18.83200000          0.21334051
        -18.82933333          0.21312124
        -18.82666667          0.21287985
        -18.82400000          0.21261462
        -18.82133333          0.21232384
        -18.81866667          0.21200587
        -18.81600000          0.21165911
        -18.81333333          0.21128203
        -18.81066667          0.21087317
        -18.80800000          0.21043111
        -18.80533333          0.20995453
        -18.80266667          0.20944217
        -18.80000000          0.20889285
        -18.79733333          0.20830547
        -18.79466667          0.20767902
        -18.79200000          0.20701259
        -18.78933333          0.20630532
        -18.78666667          0.20555647
        -18.78400000          0.20476539
        -18.78133333          0.20393153
        -18.77866667          0.20305441
        -18.77600000          0.20213367
        -18.77333333          0.20116904
        -18.77066667          0.20016034
        -18.76800000          0.19910749
        -18.76533333          0.19801051
        -18.76266667          0.19686952
        -18.76000000          0.19568471
        -18.75733333          0.19445641
        -18.75466667          0.19318499
        -18.75200000          0.19187096
        -18.74933333          0.19051488
        -18.74666667          0.18911742
        -18.74400000          0.18767933
        -18.74133333          0.18620146
        -18.73866667          0.18468471
        -18.73600000          0.18313008
        -18.73333333          0.18153865
        -18.73066667          0.17991156
        -18.72800000          0.17825002
        -18.72533333          0.17655532
        -18.72266667          0.17482882
        -18.72000000          0.17307191
        -18.71733333          0.17128606
        -18.71466667          0.16947279
        -18.71200000          0.16763368
        -18.70933333          0.16577033
        -18.70666667          0.16388441
        -18.70400000          0.16197762
