energy_eV,volume_A3,n_atoms,converged,phase,lattice_A,E_per_atom,V_per_atom
-25041.932620511,33.0762,2,True,bcc,3.21,-12520.9663102555,16.5381
-25042.024664596,33.3862,2,True,bcc,3.22,-12521.012332298,16.6931
-25042.113796148,33.6983,2,True,bcc,3.23,-12521.056898074,16.84915
-25043.610797755,42.875,2,True,bcc,3.5,-12521.8053988775,21.4375
-25043.937020866,52.7344,2,True,bcc,3.75,-12521.968510433,26.3672
-25043.75075252,64.0,2,True,bcc,4.0,-12521.87537626,32.0
-25043.339395485,76.7656,2,True,bcc,4.25,-12521.6696977425,38.3828
-25042.861380806,91.125,2,True,bcc,4.5,-12521.430690403,45.5625
-25042.39879494,107.172,2,True,bcc,4.75,-12521.19939747,53.586
-50072.766607898,37.7356,4,True,cl,3.423,-12518.1916519745,9.4339
-50077.131539804,42.0037,4,True,cl,3.547,-12519.282884951,10.500925
-50078.923823472,44.2535,4,True,cl,3.61,-12519.730955868,11.063375
-50080.484762798,46.5821,4,True,cl,3.672,-12520.1211906995,11.645525
-50080.771194529,47.0575,4,True,cl,3.684,-12520.19279863225,11.764375
-50081.049704763,47.536,4,True,cl,3.697,-12520.26242619075,11.884
-50081.320529355,48.0178,4,True,cl,3.709,-12520.33013233875,12.00445
-50081.583839621,48.5028,4,True,cl,3.722,-12520.39595990525,12.1257
-50082.088281554,49.4826,4,True,cl,3.747,-12520.5220703885,12.37065
-50082.329480837,49.9775,4,True,cl,3.759,-12520.58237020925,12.494375
-50084.003620844,54.0553,4,True,cl,3.859,-12521.000905211,13.513825
-50085.556608345,59.4569,4,True,cl,3.983,-12521.38915208625,14.864225
-50086.607878294,65.2072,4,True,cl,4.108,-12521.6519695735,16.3018
-50087.609688761,77.7958,4,True,cl,4.356,-12521.90242219025,19.44895
-50087.537058861,95.6857,4,True,cl,4.668,-12521.88426471525,23.921425
-50086.756493464,116.127,4,True,cl,4.979,-12521.689123366,29.03175
-50085.760360668,139.29,4,True,cl,5.29,-12521.440090167,34.8225
-50084.784419496,165.345,4,True,cl,5.601,-12521.196104874,41.33625
-50083.932353648,194.462,4,True,cl,5.912,-12520.983088412,48.6155
-50077.62993712,42.875,4,True,fcc,3.5,-12519.40748428,10.71875
-50082.899575557,52.7344,4,True,fcc,3.75,-12520.72489388925,13.1836
-50085.617162588,64.0,4,True,fcc,4.0,-12521.404290647,16.0
-50086.684649832,76.7656,4,True,fcc,4.25,-12521.671162458,19.1914
-50086.753391963,91.125,4,True,fcc,4.5,-12521.68834799075,22.78125
-50086.264790383,107.172,4,True,fcc,4.75,-12521.56619759575,26.793
-50085.516285767,125.0,4,True,fcc,5.0,-12521.37907144175,31.25
