# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -4.384361 eV
#    Energy (eV)      DOS 
        -15.61563857          0.50626590
        -15.61297191          0.50373482
        -15.61030524          0.50125761
        -15.60763857          0.49883030
        -15.60497191          0.49644885
        -15.60230524          0.49410908
        -15.59963857          0.49180675
        -15.59697191          0.48953752
        -15.59430524          0.48729699
        -15.59163857          0.48508072
        -15.58897191          0.48288420
        -15.58630524          0.48070293
        -15.58363857          0.47853236
        -15.58097191          0.47636798
        -15.57830524          0.47420526
        -15.57563857          0.47203971
        -15.57297191          0.46986688
        -15.57030524          0.46768239
        -15.56763857          0.46548189
        -15.56497191          0.46326116
        -15.56230524          0.46101603
        -15.55963857          0.45874248
        -15.55697191          0.45643658
        -15.55430524          0.45409455
        -15.55163857          0.45171275
        -15.54897191          0.44928769
        -15.54630524          0.44681608
        -15.54363857          0.44429477
        -15.54097191          0.44172084
        -15.53830524          0.43909153
        -15.53563857          0.43640434
        -15.53297191          0.43365693
        -15.53030524          0.43084725
        -15.52763857          0.42797343
        -15.52497191          0.42503388
        -15.52230524          0.42202722
        -15.51963857          0.41895236
        -15.51697191          0.41580844
        -15.51430524          0.41259487
        -15.51163857          0.40931131
        -15.50897191          0.40595769
        -15.50630524          0.40253420
        -15.50363857          0.39904130
        -15.50097191          0.39547970
        -15.49830524          0.39185037
        -15.49563857          0.38815455
        -15.49297191          0.38439372
        -15.49030524          0.38056959
        -15.48763857          0.37668415
        -15.48497191          0.37273959
        -15.48230524          0.36873833
        -15.47963857          0.36468303
        -15.47697191          0.36057654
        -15.47430524          0.35642191
        -15.47163857          0.35222238
        -15.46897191          0.34798137
        -15.46630524          0.34370246
        -15.46363857          0.33938938
        -15.46097191          0.33504601
        -15.45830524          0.33067634
        -15.45563857          0.32628449
        -15.45297191          0.32187466
        -15.45030524          0.31745115
        -15.44763857          0.31301831
        -15.44497191          0.30858055
        -15.44230524          0.30414232
        -15.43963857          0.29970810
        -15.43697191          0.29528237
        -15.43430524          0.29086959
        -15.43163857          0.28647423
        -15.42897191          0.28210069
        -15.42630524          0.27775335
        -15.42363857          0.27343650
        -15.42097191          0.26915436
        -15.41830524          0.26491106
        -15.41563857          0.26071064
        -15.41297191          0.25655699
        -15.41030524          0.25245390
        -15.40763857          0.24840502
        -15.40497191          0.24441384
        -15.40230524          0.24048370
        -15.39963857          0.23661777
        -15.39697191          0.23281905
        -15.39430524          0.22909036
        -15.39163857          0.22543432
        -15.38897191          0.22185337
        -15.38630524          0.21834976
        -15.38363857          0.21492551
        -15.38097191          0.21158248
        -15.37830524          0.20832229
        -15.37563857          0.20514636
        -15.37297191          0.20205593
        -15.37030524          0.19905201
        -15.36763857          0.19613541
        -15.36497191          0.19330675
        -15.36230524          0.19056644
        -15.35963857          0.18791472
        -15.35697191          0.18535162
        -15.35430524          0.18287700
        -15.35163857          0.18049053
        -15.34897191          0.17819173
        -15.34630524          0.17597994
        -15.34363857          0.17385437
        -15.34097191          0.17181405
        -15.33830524          0.16985791
        -15.33563857          0.16798473
        -15.33297191          0.16619317
        -15.33030524          0.16448179
        -15.32763857          0.16284905
        -15.32497191          0.16129332
        -15.32230524          0.15981289
        -15.31963857          0.15840597
        -15.31697191          0.15707074
        -15.31430524          0.15580530
        -15.31163857          0.15460773
        -15.30897191          0.15347606
        -15.30630524          0.15240833
        -15.30363857          0.15140253
        -15.30097191          0.15045668
        -15.29830524          0.14956878
        -15.29563857          0.14873686
        -15.29297191          0.14795897
        -15.29030524          0.14723317
        -15.28763857          0.14655756
        -15.28497191          0.14593029
        -15.28230524          0.14534955
        -15.27963857          0.14481357
        -15.27697191          0.14432065
        -15.27430524          0.14386913
        -15.27163857          0.14345741
        -15.26897191          0.14308396
        -15.26630524          0.14274733
        -15.26363857          0.14244610
        -15.26097191          0.14217894
        -15.25830524          0.14194458
        -15.25563857          0.14174182
        -15.25297191          0.14156952
        -15.25030524          0.14142659
        -15.24763857          0.14131203
        -15.24497191          0.14122489
        -15.24230524          0.14116425
        -15.23963857          0.14112928
        -15.23697191          0.14111918
        -15.23430524          0.14113321
        -15.23163857          0.14117065
        -15.22897191          0.14123084
        -15.22630524          0.14131316
        -15.22363857          0.14141699
        -15.22097191          0.14154177
        -15.21830524          0.14168694
        -15.21563857          0.14185196
        -15.21297191          0.14203631
        -15.21030524          0.14223948
        -15.20763857          0.14246096
        -15.20497191          0.14270024
        -15.20230524          0.14295680
        -15.19963857          0.14323015
        -15.19697191          0.14351974
        -15.19430524          0.14382504
        -15.19163857          0.14414549
        -15.18897191          0.14448054
        -15.18630524          0.14482958
        -15.18363857          0.14519201
        -15.18097191          0.14556721
        -15.17830524          0.14595451
        -15.17563857          0.14635325
        -15.17297191          0.14676272
        -15.17030524          0.14718221
        -15.16763857          0.14761098
        -15.16497191          0.14804826
        -15.16230524          0.14849327
        -15.15963857          0.14894523
        -15.15697191          0.14940331
        -15.15430524          0.14986670
        -15.15163857          0.15033456
        -15.14897191          0.15080606
        -15.14630524          0.15128035
        -15.14363857          0.15175658
        -15.14097191          0.15223393
        -15.13830524          0.15271156
        -15.13563857          0.15318865
        -15.13297191          0.15366440
        -15.13030524          0.15413802
        -15.12763857          0.15460875
        -15.12497191          0.15507586
        -15.12230524          0.15553865
        -15.11963857          0.15599644
        -15.11697191          0.15644860
        -15.11430524          0.15689454
        -15.11163857          0.15733372
        -15.10897191          0.15776565
        -15.10630524          0.15818987
        -15.10363857          0.15860598
        -15.10097191          0.15901366
        -15.09830524          0.15941262
        -15.09563857          0.15980263
        -15.09297191          0.16018354
        -15.09030524          0.16055524
        -15.08763857          0.16091769
        -15.08497191          0.16127091
        -15.08230524          0.16161499
        -15.07963857          0.16195007
        -15.07697191          0.16227636
        -15.07430524          0.16259412
        -15.07163857          0.16290368
        -15.06897191          0.16320541
        -15.06630524          0.16349976
        -15.06363857          0.16378721
        -15.06097191          0.16406830
        -15.05830524          0.16434362
        -15.05563857          0.16461381
        -15.05297191          0.16487953
        -15.05030524          0.16514150
        -15.04763857          0.16540047
        -15.04497191          0.16565724
        -15.04230524          0.16591260
        -15.03963857          0.16616740
        -15.03697191          0.16642251
        -15.03430524          0.16667881
        -15.03163857          0.16693720
        -15.02897191          0.16719860
        -15.02630524          0.16746393
        -15.02363857          0.16773412
        -15.02097191          0.16801012
        -15.01830524          0.16829288
        -15.01563857          0.16858333
        -15.01297191          0.16888242
        -15.01030524          0.16919108
        -15.00763857          0.16951026
        -15.00497191          0.16984089
        -15.00230524          0.17018387
        -14.99963857          0.17054013
        -14.99697191          0.17091057
        -14.99430524          0.17129608
        -14.99163857          0.17169754
        -14.98897191          0.17211583
        -14.98630524          0.17255179
        -14.98363857          0.17300629
        -14.98097191          0.17348015
        -14.97830524          0.17397421
        -14.97563857          0.17448927
        -14.97297191          0.17502616
        -14.97030524          0.17558565
        -14.96763857          0.17616855
        -14.96497191          0.17677562
        -14.96230524          0.17740764
        -14.95963857          0.17806537
        -14.95697191          0.17874957
        -14.95430524          0.17946099
        -14.95163857          0.18020035
        -14.94897191          0.18096841
        -14.94630524          0.18176587
        -14.94363857          0.18259346
