# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -20.00000000          0.53032820
        -19.99733333          0.52625745
        -19.99466667          0.52216364
        -19.99200000          0.51804328
        -19.98933333          0.51389307
        -19.98666667          0.50970994
        -19.98400000          0.50549101
        -19.98133333          0.50123366
        -19.97866667          0.49693550
        -19.97600000          0.49259438
        -19.97333333          0.48820841
        -19.97066667          0.48377597
        -19.96800000          0.47929569
        -19.96533333          0.47476649
        -19.96266667          0.47018755
        -19.96000000          0.46555832
        -19.95733333          0.46087853
        -19.95466667          0.45614818
        -19.95200000          0.45136754
        -19.94933333          0.44653715
        -19.94666667          0.44165779
        -19.94400000          0.43673054
        -19.94133333          0.43175669
        -19.93866667          0.42673779
        -19.93600000          0.42167561
        -19.93333333          0.41657216
        -19.93066667          0.41142966
        -19.92800000          0.40625052
        -19.92533333          0.40103735
        -19.92266667          0.39579294
        -19.92000000          0.39052024
        -19.91733333          0.38522234
        -19.91466667          0.37990250
        -19.91200000          0.37456406
        -19.90933333          0.36921050
        -19.90666667          0.36384537
        -19.90400000          0.35847230
        -19.90133333          0.35309500
        -19.89866667          0.34771720
        -19.89600000          0.34234268
        -19.89333333          0.33697522
        -19.89066667          0.33161860
        -19.88800000          0.32627660
        -19.88533333          0.32095295
        -19.88266667          0.31565134
        -19.88000000          0.31037542
        -19.87733333          0.30512875
        -19.87466667          0.29991481
        -19.87200000          0.29473697
        -19.86933333          0.28959852
        -19.86666667          0.28450261
        -19.86400000          0.27945228
        -19.86133333          0.27445040
        -19.85866667          0.26949972
        -19.85600000          0.26460283
        -19.85333333          0.25976216
        -19.85066667          0.25497996
        -19.84800000          0.25025833
        -19.84533333          0.24559918
        -19.84266667          0.24100423
        -19.84000000          0.23647505
        -19.83733333          0.23201299
        -19.83466667          0.22761924
        -19.83200000          0.22329480
        -19.82933333          0.21904048
        -19.82666667          0.21485693
        -19.82400000          0.21074460
        -19.82133333          0.20670378
        -19.81866667          0.20273458
        -19.81600000          0.19883694
        -19.81333333          0.19501066
        -19.81066667          0.19125536
        -19.80800000          0.18757054
        -19.80533333          0.18395554
        -19.80266667          0.18040957
        -19.80000000          0.17693172
        -19.79733333          0.17352097
        -19.79466667          0.17017617
        -19.79200000          0.16689610
        -19.78933333          0.16367942
        -19.78666667          0.16052473
        -19.78400000          0.15743056
        -19.78133333          0.15439536
        -19.77866667          0.15141755
        -19.77600000          0.14849548
        -19.77333333          0.14562749
        -19.77066667          0.14281189
        -19.76800000          0.14004696
        -19.76533333          0.13733098
        -19.76266667          0.13466224
        -19.76000000          0.13203903
        -19.75733333          0.12945964
        -19.75466667          0.12692242
        -19.75200000          0.12442573
        -19.74933333          0.12196795
        -19.74666667          0.11954753
        -19.74400000          0.11716297
        -19.74133333          0.11481279
        -19.73866667          0.11249561
        -19.73600000          0.11021009
        -19.73333333          0.10795495
        -19.73066667          0.10572900
        -19.72800000          0.10353111
        -19.72533333          0.10136022
        -19.72266667          0.09921535
        -19.72000000          0.09709561
        -19.71733333          0.09500017
        -19.71466667          0.09292827
        -19.71200000          0.09087926
        -19.70933333          0.08885255
        -19.70666667          0.08684761
        -19.70400000          0.08486401
        -19.70133333          0.08290138
        -19.69866667          0.08095943
        -19.69600000          0.07903792
        -19.69333333          0.07713670
        -19.69066667          0.07525566
        -19.68800000          0.07339477
        -19.68533333          0.07155404
        -19.68266667          0.06973355
        -19.68000000          0.06793341
        -19.67733333          0.06615378
        -19.67466667          0.06439488
        -19.67200000          0.06265693
        -19.66933333          0.06094023
        -19.66666667          0.05924507
        -19.66400000          0.05757178
        -19.66133333          0.05592071
        -19.65866667          0.05429223
        -19.65600000          0.05268672
        -19.65333333          0.05110456
        -19.65066667          0.04954615
        -19.64800000          0.04801189
        -19.64533333          0.04650216
        -19.64266667          0.04501736
        -19.64000000          0.04355786
        -19.63733333          0.04212404
        -19.63466667          0.04071624
        -19.63200000          0.03933480
        -19.62933333          0.03798003
        -19.62666667          0.03665224
        -19.62400000          0.03535169
        -19.62133333          0.03407863
        -19.61866667          0.03283328
        -19.61600000          0.03161581
        -19.61333333          0.03042640
        -19.61066667          0.02926517
        -19.60800000          0.02813221
        -19.60533333          0.02702760
        -19.60266667          0.02595135
        -19.60000000          0.02490346
        -19.59733333          0.02388391
        -19.59466667          0.02289261
        -19.59200000          0.02192948
        -19.58933333          0.02099436
        -19.58666667          0.02008711
        -19.58400000          0.01920751
        -19.58133333          0.01835534
        -19.57866667          0.01753034
        -19.57600000          0.01673223
        -19.57333333          0.01596069
        -19.57066667          0.01521539
        -19.56800000          0.01449595
        -19.56533333          0.01380200
        -19.56266667          0.01313311
        -19.56000000          0.01248887
        -19.55733333          0.01186882
        -19.55466667          0.01127249
        -19.55200000          0.01069940
        -19.54933333          0.01014906
        -19.54666667          0.00962094
        -19.54400000          0.00911454
        -19.54133333          0.00862932
        -19.53866667          0.00816474
        -19.53600000          0.00772025
        -19.53333333          0.00729529
        -19.53066667          0.00688932
        -19.52800000          0.00650177
        -19.52533333          0.00613209
        -19.52266667          0.00577970
        -19.52000000          0.00544405
        -19.51733333          0.00512459
        -19.51466667          0.00482076
        -19.51200000          0.00453200
        -19.50933333          0.00425778
        -19.50666667          0.00399756
        -19.50400000          0.00375080
        -19.50133333          0.00351698
        -19.49866667          0.00329559
        -19.49600000          0.00308613
        -19.49333333          0.00288809
        -19.49066667          0.00270099
        -19.48800000          0.00252436
        -19.48533333          0.00235774
        -19.48266667          0.00220068
        -19.48000000          0.00205274
        -19.47733333          0.00191348
        -19.47466667          0.00178251
        -19.47200000          0.00165941
        -19.46933333          0.00154381
        -19.46666667          0.00143532
        -19.46400000          0.00133358
        -19.46133333          0.00123825
        -19.45866667          0.00114899
        -19.45600000          0.00106547
        -19.45333333          0.00098738
        -19.45066667          0.00091444
        -19.44800000          0.00084634
        -19.44533333          0.00078282
        -19.44266667          0.00072361
        -19.44000000          0.00066848
        -19.43733333          0.00061717
        -19.43466667          0.00056946
        -19.43200000          0.00052514
        -19.42933333          0.00048399
        -19.42666667          0.00044584
        -19.42400000          0.00041048
        -19.42133333          0.00037775
        -19.41866667          0.00034749
        -19.41600000          0.00031953
        -19.41333333          0.00029372
        -19.41066667          0.00026994
        -19.40800000          0.00024805
        -19.40533333          0.00022792
        -19.40266667          0.00020945
        -19.40000000          0.00019253
        -19.39733333          0.00017705
        -19.39466667          0.00016293
        -19.39200000          0.00015008
        -19.38933333          0.00013841
        -19.38666667          0.00012786
        -19.38400000          0.00011835
        -19.38133333          0.00010983
        -19.37866667          0.00010224
        -19.37600000          0.00009552
        -19.37333333          0.00008964
