# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -6.043838 eV
#    Energy (eV)      DOS 
        -13.95616248          0.00000001
        -13.95349581          0.00000001
        -13.95082915          0.00000000
        -13.94816248          0.00000000
        -13.94549581          0.00000000
        -13.94282915          0.00000000
        -13.94016248          0.00000000
        -13.93749581          0.00000000
        -13.93482915          0.00000000
        -13.93216248          0.00000000
        -13.92949581          0.00000000
        -13.92682915          0.00000000
        -13.92416248          0.00000000
        -13.92149581          0.00000000
        -13.91882915          0.00000000
        -13.91616248          0.00000000
        -13.91349581          0.00000000
        -13.91082915          0.00000000
        -13.90816248          0.00000000
        -13.90549581          0.00000000
        -13.90282915          0.00000000
        -13.90016248          0.00000000
        -13.89749581          0.00000000
        -13.89482915          0.00000000
        -13.89216248          0.00000000
        -13.88949581          0.00000000
        -13.88682915          0.00000000
        -13.88416248          0.00000000
        -13.88149581          0.00000000
        -13.87882915          0.00000000
        -13.87616248          0.00000000
        -13.87349581          0.00000000
        -13.87082915          0.00000000
        -13.86816248          0.00000000
        -13.86549581          0.00000000
        -13.86282915          0.00000000
        -13.86016248          0.00000000
        -13.85749581          0.00000000
        -13.85482915          0.00000000
        -13.85216248          0.00000000
        -13.84949581          0.00000000
        -13.84682915          0.00000000
        -13.84416248          0.00000000
        -13.84149581          0.00000000
        -13.83882915          0.00000000
        -13.83616248          0.00000000
        -13.83349581          0.00000000
        -13.83082915          0.00000000
        -13.82816248          0.00000000
        -13.82549581          0.00000000
        -13.82282915          0.00000000
        -13.82016248          0.00000000
        -13.81749581          0.00000000
        -13.81482915          0.00000000
        -13.81216248          0.00000000
        -13.80949581          0.00000000
        -13.80682915          0.00000000
        -13.80416248          0.00000000
        -13.80149581          0.00000000
        -13.79882915          0.00000000
        -13.79616248          0.00000000
        -13.79349581          0.00000000
        -13.79082915          0.00000000
        -13.78816248          0.00000000
        -13.78549581          0.00000000
        -13.78282915          0.00000000
        -13.78016248          0.00000000
        -13.77749581          0.00000000
        -13.77482915          0.00000000
        -13.77216248          0.00000000
        -13.76949581          0.00000000
        -13.76682915          0.00000000
        -13.76416248          0.00000000
        -13.76149581          0.00000000
        -13.75882915          0.00000000
        -13.75616248          0.00000000
        -13.75349581          0.00000000
        -13.75082915          0.00000000
        -13.74816248          0.00000000
        -13.74549581          0.00000000
        -13.74282915          0.00000000
        -13.74016248          0.00000000
        -13.73749581          0.00000000
        -13.73482915          0.00000000
        -13.73216248          0.00000000
        -13.72949581          0.00000000
        -13.72682915          0.00000000
        -13.72416248          0.00000000
        -13.72149581          0.00000000
        -13.71882915          0.00000000
        -13.71616248          0.00000000
        -13.71349581          0.00000000
        -13.71082915          0.00000000
        -13.70816248          0.00000000
        -13.70549581          0.00000000
        -13.70282915          0.00000000
        -13.70016248          0.00000000
        -13.69749581          0.00000000
        -13.69482915          0.00000000
        -13.69216248          0.00000000
        -13.68949581          0.00000000
        -13.68682915          0.00000000
        -13.68416248          0.00000000
        -13.68149581          0.00000000
        -13.67882915          0.00000000
        -13.67616248          0.00000000
        -13.67349581          0.00000000
        -13.67082915          0.00000000
        -13.66816248          0.00000000
        -13.66549581          0.00000000
        -13.66282915          0.00000000
        -13.66016248          0.00000000
        -13.65749581          0.00000000
        -13.65482915          0.00000000
        -13.65216248          0.00000000
        -13.64949581          0.00000000
        -13.64682915          0.00000000
        -13.64416248          0.00000000
        -13.64149581          0.00000000
        -13.63882915          0.00000000
        -13.63616248          0.00000000
        -13.63349581          0.00000000
        -13.63082915          0.00000000
        -13.62816248          0.00000000
        -13.62549581          0.00000000
        -13.62282915          0.00000000
        -13.62016248          0.00000000
        -13.61749581          0.00000000
        -13.61482915          0.00000000
        -13.61216248          0.00000000
        -13.60949581          0.00000000
        -13.60682915          0.00000000
        -13.60416248          0.00000000
        -13.60149581          0.00000000
        -13.59882915          0.00000000
        -13.59616248          0.00000000
        -13.59349581          0.00000000
        -13.59082915          0.00000000
        -13.58816248          0.00000000
        -13.58549581          0.00000000
