# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -4.645193 eV
#    Energy (eV)      DOS 
        -15.35480735          1.01550603
        -15.35214068          1.02091769
        -15.34947401          1.02619627
        -15.34680735          1.03132813
        -15.34414068          1.03630019
        -15.34147401          1.04109996
        -15.33880735          1.04571560
        -15.33614068          1.05013592
        -15.33347401          1.05435038
        -15.33080735          1.05834917
        -15.32814068          1.06212319
        -15.32547401          1.06566409
        -15.32280735          1.06896424
        -15.32014068          1.07201683
        -15.31747401          1.07481579
        -15.31480735          1.07735588
        -15.31214068          1.07963262
        -15.30947401          1.08164238
        -15.30680735          1.08338232
        -15.30414068          1.08485042
        -15.30147401          1.08604549
        -15.29880735          1.08696714
        -15.29614068          1.08761579
        -15.29347401          1.08799269
        -15.29080735          1.08809986
        -15.28814068          1.08794014
        -15.28547401          1.08751714
        -15.28280735          1.08683521
        -15.28014068          1.08589951
        -15.27747401          1.08471588
        -15.27480735          1.08329091
        -15.27214068          1.08163188
        -15.26947401          1.07974675
        -15.26680735          1.07764411
        -15.26414068          1.07533323
        -15.26147401          1.07282392
        -15.25880735          1.07012661
        -15.25614068          1.06725225
        -15.25347401          1.06421232
        -15.25080735          1.06101877
        -15.24814068          1.05768401
        -15.24547401          1.05422087
        -15.24280735          1.05064253
        -15.24014068          1.04696256
        -15.23747401          1.04319480
        -15.23480735          1.03935337
        -15.23214068          1.03545264
        -15.22947401          1.03150714
        -15.22680735          1.02753159
        -15.22414068          1.02354079
        -15.22147401          1.01954963
        -15.21880735          1.01557304
        -15.21614068          1.01162593
        -15.21347401          1.00772316
        -15.21080735          1.00387952
        -15.20814068          1.00010965
        -15.20547401          0.99642805
        -15.20280735          0.99284900
        -15.20014068          0.98938654
        -15.19747401          0.98605442
        -15.19480735          0.98286609
        -15.19214068          0.97983465
        -15.18947401          0.97697279
        -15.18680735          0.97429280
        -15.18414068          0.97180652
        -15.18147401          0.96952530
        -15.17880735          0.96745999
        -15.17614068          0.96562088
        -15.17347401          0.96401773
        -15.17080735          0.96265969
        -15.16814068          0.96155531
        -15.16547401          0.96071252
        -15.16280735          0.96013859
        -15.16014068          0.95984015
        -15.15747401          0.95982314
        -15.15480735          0.96009283
        -15.15214068          0.96065378
        -15.14947401          0.96150987
        -15.14680735          0.96266427
        -15.14414068          0.96411945
        -15.14147401          0.96587718
        -15.13880735          0.96793852
        -15.13614068          0.97030384
        -15.13347401          0.97297284
        -15.13080735          0.97594453
        -15.12814068          0.97921727
        -15.12547401          0.98278875
        -15.12280735          0.98665607
        -15.12014068          0.99081568
        -15.11747401          0.99526346
        -15.11480735          0.99999474
        -15.11214068          1.00500427
        -15.10947401          1.01028632
        -15.10680735          1.01583467
