# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -20.00000000          1.01550603
        -19.99733333          1.02091769
        -19.99466667          1.02619627
        -19.99200000          1.03132813
        -19.98933333          1.03630019
        -19.98666667          1.04109996
        -19.98400000          1.04571560
        -19.98133333          1.05013592
        -19.97866667          1.05435038
        -19.97600000          1.05834917
        -19.97333333          1.06212319
        -19.97066667          1.06566409
        -19.96800000          1.06896424
        -19.96533333          1.07201683
        -19.96266667          1.07481579
        -19.96000000          1.07735588
        -19.95733333          1.07963262
        -19.95466667          1.08164238
        -19.95200000          1.08338232
        -19.94933333          1.08485042
        -19.94666667          1.08604549
        -19.94400000          1.08696714
        -19.94133333          1.08761579
        -19.93866667          1.08799269
        -19.93600000          1.08809986
        -19.93333333          1.08794014
        -19.93066667          1.08751714
        -19.92800000          1.08683521
        -19.92533333          1.08589951
        -19.92266667          1.08471588
        -19.92000000          1.08329091
        -19.91733333          1.08163188
        -19.91466667          1.07974675
        -19.91200000          1.07764411
        -19.90933333          1.07533323
        -19.90666667          1.07282392
        -19.90400000          1.07012661
        -19.90133333          1.06725225
        -19.89866667          1.06421232
        -19.89600000          1.06101877
        -19.89333333          1.05768401
        -19.89066667          1.05422087
        -19.88800000          1.05064253
        -19.88533333          1.04696256
        -19.88266667          1.04319480
        -19.88000000          1.03935337
        -19.87733333          1.03545264
        -19.87466667          1.03150714
        -19.87200000          1.02753159
        -19.86933333          1.02354079
        -19.86666667          1.01954963
        -19.86400000          1.01557304
        -19.86133333          1.01162593
        -19.85866667          1.00772316
        -19.85600000          1.00387952
        -19.85333333          1.00010965
        -19.85066667          0.99642805
        -19.84800000          0.99284900
        -19.84533333          0.98938654
        -19.84266667          0.98605442
        -19.84000000          0.98286609
        -19.83733333          0.97983465
        -19.83466667          0.97697279
        -19.83200000          0.97429280
        -19.82933333          0.97180652
        -19.82666667          0.96952530
        -19.82400000          0.96745999
        -19.82133333          0.96562088
        -19.81866667          0.96401773
        -19.81600000          0.96265969
        -19.81333333          0.96155531
        -19.81066667          0.96071252
        -19.80800000          0.96013859
        -19.80533333          0.95984015
        -19.80266667          0.95982314
        -19.80000000          0.96009283
        -19.79733333          0.96065378
        -19.79466667          0.96150987
        -19.79200000          0.96266427
        -19.78933333          0.96411945
        -19.78666667          0.96587718
        -19.78400000          0.96793852
        -19.78133333          0.97030384
        -19.77866667          0.97297284
        -19.77600000          0.97594453
        -19.77333333          0.97921727
        -19.77066667          0.98278875
        -19.76800000          0.98665607
        -19.76533333          0.99081568
        -19.76266667          0.99526346
        -19.76000000          0.99999474
        -19.75733333          1.00500427
        -19.75466667          1.01028632
        -19.75200000          1.01583467
        -19.74933333          1.02164261
        -19.74666667          1.02770305
        -19.74400000          1.03400848
        -19.74133333          1.04055103
        -19.73866667          1.04732250
        -19.73600000          1.05431440
        -19.73333333          1.06151799
        -19.73066667          1.06892429
        -19.72800000          1.07652413
        -19.72533333          1.08430819
        -19.72266667          1.09226703
        -19.72000000          1.10039111
        -19.71733333          1.10867085
        -19.71466667          1.11709664
        -19.71200000          1.12565887
        -19.70933333          1.13434798
        -19.70666667          1.14315447
        -19.70400000          1.15206893
        -19.70133333          1.16108206
        -19.69866667          1.17018474
        -19.69600000          1.17936795
        -19.69333333          1.18862290
        -19.69066667          1.19794099
        -19.68800000          1.20731381
        -19.68533333          1.21673320
        -19.68266667          1.22619122
        -19.68000000          1.23568018
        -19.67733333          1.24519264
        -19.67466667          1.25472141
        -19.67200000          1.26425953
        -19.66933333          1.27380032
        -19.66666667          1.28333733
        -19.66400000          1.29286433
        -19.66133333          1.30237535
        -19.65866667          1.31186460
        -19.65600000          1.32132652
        -19.65333333          1.33075572
        -19.65066667          1.34014699
        -19.64800000          1.34949526
        -19.64533333          1.35879560
        -19.64266667          1.36804318
        -19.64000000          1.37723326
        -19.63733333          1.38636117
        -19.63466667          1.39542227
        -19.63200000          1.40441192
        -19.62933333          1.41332550
        -19.62666667          1.42215833
        -19.62400000          1.43090569
        -19.62133333          1.43956274
        -19.61866667          1.44812458
        -19.61600000          1.45658615
        -19.61333333          1.46494224
        -19.61066667          1.47318749
        -19.60800000          1.48131632
        -19.60533333          1.48932297
        -19.60266667          1.49720146
        -19.60000000          1.50494555
        -19.59733333          1.51254880
        -19.59466667          1.52000450
        -19.59200000          1.52730567
        -19.58933333          1.53444510
        -19.58666667          1.54141531
        -19.58400000          1.54820858
        -19.58133333          1.55481694
        -19.57866667          1.56123217
        -19.57600000          1.56744586
        -19.57333333          1.57344935
        -19.57066667          1.57923383
        -19.56800000          1.58479029
        -19.56533333          1.59010960
        -19.56266667          1.59518249
        -19.56000000          1.59999962
        -19.55733333          1.60455159
        -19.55466667          1.60882896
        -19.55200000          1.61282233
        -19.54933333          1.61652234
        -19.54666667          1.61991971
        -19.54400000          1.62300530
        -19.54133333          1.62577015
        -19.53866667          1.62820551
        -19.53600000          1.63030290
        -19.53333333          1.63205413
        -19.53066667          1.63345138
        -19.52800000          1.63448722
        -19.52533333          1.63515465
        -19.52266667          1.63544716
        -19.52000000          1.63535878
        -19.51733333          1.63488407
        -19.51466667          1.63401825
        -19.51200000          1.63275714
        -19.50933333          1.63109726
        -19.50666667          1.62903586
        -19.50400000          1.62657091
        -19.50133333          1.62370118
        -19.49866667          1.62042622
        -19.49600000          1.61674644
        -19.49333333          1.61266305
        -19.49066667          1.60817817
        -19.48800000          1.60329477
        -19.48533333          1.59801669
        -19.48266667          1.59234870
        -19.48000000          1.58629642
        -19.47733333          1.57986640
        -19.47466667          1.57306603
        -19.47200000          1.56590363
        -19.46933333          1.55838833
        -19.46666667          1.55053015
        -19.46400000          1.54233990
        -19.46133333          1.53382922
        -19.45866667          1.52501050
        -19.45600000          1.51589690
        -19.45333333          1.50650228
        -19.45066667          1.49684117
        -19.44800000          1.48692873
        -19.44533333          1.47678073
        -19.44266667          1.46641348
        -19.44000000          1.45584379
