# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -3.139482 eV
#    Energy (eV)      DOS 
        -16.86051814          0.53708844
        -16.85785147          0.52718102
        -16.85518481          0.51757811
        -16.85251814          0.50828762
        -16.84985147          0.49931700
        -16.84718481          0.49067332
        -16.84451814          0.48236323
        -16.84185147          0.47439298
        -16.83918481          0.46676843
        -16.83651814          0.45949505
        -16.83385147          0.45257797
        -16.83118481          0.44602191
        -16.82851814          0.43983127
        -16.82585147          0.43401008
        -16.82318481          0.42856204
        -16.82051814          0.42349051
        -16.81785147          0.41879852
        -16.81518481          0.41448879
        -16.81251814          0.41056372
        -16.80985147          0.40702538
        -16.80718481          0.40387556
        -16.80451814          0.40111572
        -16.80185147          0.39874703
        -16.79918481          0.39677034
        -16.79651814          0.39518622
        -16.79385147          0.39399491
        -16.79118481          0.39319636
        -16.78851814          0.39279020
        -16.78585147          0.39277575
        -16.78318481          0.39315199
        -16.78051814          0.39391761
        -16.77785147          0.39507094
        -16.77518481          0.39660997
        -16.77251814          0.39853236
        -16.76985147          0.40083540
        -16.76718481          0.40351602
        -16.76451814          0.40657076
        -16.76185147          0.40999579
        -16.75918481          0.41378688
        -16.75651814          0.41793940
        -16.75385147          0.42244829
        -16.75118481          0.42730808
        -16.74851814          0.43251286
        -16.74585147          0.43805628
        -16.74318481          0.44393154
        -16.74051814          0.45013136
        -16.73785147          0.45664802
        -16.73518481          0.46347332
        -16.73251814          0.47059858
        -16.72985147          0.47801465
        -16.72718481          0.48571188
        -16.72451814          0.49368015
        -16.72185147          0.50190885
        -16.71918481          0.51038691
        -16.71651814          0.51910277
        -16.71385147          0.52804439
        -16.71118481          0.53719929
        -16.70851814          0.54655453
        -16.70585147          0.55609673
        -16.70318481          0.56581209
        -16.70051814          0.57568640
        -16.69785147          0.58570507
        -16.69518481          0.59585310
        -16.69251814          0.60611520
        -16.68985147          0.61647572
        -16.68718481          0.62691872
        -16.68451814          0.63742800
        -16.68185147          0.64798711
        -16.67918481          0.65857941
        -16.67651814          0.66918808
        -16.67385147          0.67979618
        -16.67118481          0.69038664
        -16.66851814          0.70094237
        -16.66585147          0.71144623
        -16.66318481          0.72188112
        -16.66051814          0.73223001
        -16.65785147          0.74247597
        -16.65518481          0.75260221
        -16.65251814          0.76259216
        -16.64985147          0.77242947
        -16.64718481          0.78209809
        -16.64451814          0.79158230
        -16.64185147          0.80086674
        -16.63918481          0.80993650
        -16.63651814          0.81877710
        -16.63385147          0.82737457
        -16.63118481          0.83571552
        -16.62851814          0.84378710
        -16.62585147          0.85157713
        -16.62318481          0.85907405
        -16.62051814          0.86626704
        -16.61785147          0.87314598
        -16.61518481          0.87970153
        -16.61251814          0.88592515
        -16.60985147          0.89180910
        -16.60718481          0.89734650
        -16.60451814          0.90253133
        -16.60185147          0.90735845
        -16.59918481          0.91182362
        -16.59651814          0.91592352
        -16.59385147          0.91965575
        -16.59118481          0.92301884
        -16.58851814          0.92601225
        -16.58585147          0.92863636
        -16.58318481          0.93089250
        -16.58051814          0.93278291
        -16.57785147          0.93431075
        -16.57518481          0.93548008
        -16.57251814          0.93629584
        -16.56985147          0.93676384
        -16.56718481          0.93689074
        -16.56451814          0.93668400
        -16.56185147          0.93615188
        -16.55918481          0.93530343
        -16.55651814          0.93414838
        -16.55385147          0.93269718
        -16.55118481          0.93096093
        -16.54851814          0.92895135
