# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
        -20.00000000          0.53708844
        -19.99733333          0.52718102
        -19.99466667          0.51757811
        -19.99200000          0.50828762
        -19.98933333          0.49931700
        -19.98666667          0.49067332
        -19.98400000          0.48236323
        -19.98133333          0.47439298
        -19.97866667          0.46676843
        -19.97600000          0.45949505
        -19.97333333          0.45257797
        -19.97066667          0.44602191
        -19.96800000          0.43983127
        -19.96533333          0.43401008
        -19.96266667          0.42856204
        -19.96000000          0.42349051
        -19.95733333          0.41879852
        -19.95466667          0.41448879
        -19.95200000          0.41056372
        -19.94933333          0.40702538
        -19.94666667          0.40387556
        -19.94400000          0.40111572
        -19.94133333          0.39874703
        -19.93866667          0.39677034
        -19.93600000          0.39518622
        -19.93333333          0.39399491
        -19.93066667          0.39319636
        -19.92800000          0.39279020
        -19.92533333          0.39277575
        -19.92266667          0.39315199
        -19.92000000          0.39391761
        -19.91733333          0.39507094
        -19.91466667          0.39660997
        -19.91200000          0.39853236
        -19.90933333          0.40083540
        -19.90666667          0.40351602
        -19.90400000          0.40657076
        -19.90133333          0.40999579
        -19.89866667          0.41378688
        -19.89600000          0.41793940
        -19.89333333          0.42244829
        -19.89066667          0.42730808
        -19.88800000          0.43251286
        -19.88533333          0.43805628
        -19.88266667          0.44393154
        -19.88000000          0.45013136
        -19.87733333          0.45664802
        -19.87466667          0.46347332
        -19.87200000          0.47059858
        -19.86933333          0.47801465
        -19.86666667          0.48571188
        -19.86400000          0.49368015
        -19.86133333          0.50190885
        -19.85866667          0.51038691
        -19.85600000          0.51910277
        -19.85333333          0.52804439
        -19.85066667          0.53719929
        -19.84800000          0.54655453
        -19.84533333          0.55609673
        -19.84266667          0.56581209
        -19.84000000          0.57568640
        -19.83733333          0.58570507
        -19.83466667          0.59585310
        -19.83200000          0.60611520
        -19.82933333          0.61647572
        -19.82666667          0.62691872
        -19.82400000          0.63742800
        -19.82133333          0.64798711
        -19.81866667          0.65857941
        -19.81600000          0.66918808
        -19.81333333          0.67979618
        -19.81066667          0.69038664
        -19.80800000          0.70094237
        -19.80533333          0.71144623
        -19.80266667          0.72188112
        -19.80000000          0.73223001
        -19.79733333          0.74247597
        -19.79466667          0.75260221
        -19.79200000          0.76259216
        -19.78933333          0.77242947
        -19.78666667          0.78209809
        -19.78400000          0.79158230
        -19.78133333          0.80086674
        -19.77866667          0.80993650
        -19.77600000          0.81877710
        -19.77333333          0.82737457
        -19.77066667          0.83571552
        -19.76800000          0.84378710
        -19.76533333          0.85157713
        -19.76266667          0.85907405
        -19.76000000          0.86626704
        -19.75733333          0.87314598
        -19.75466667          0.87970153
        -19.75200000          0.88592515
        -19.74933333          0.89180910
        -19.74666667          0.89734650
        -19.74400000          0.90253133
        -19.74133333          0.90735845
        -19.73866667          0.91182362
        -19.73600000          0.91592352
        -19.73333333          0.91965575
        -19.73066667          0.92301884
        -19.72800000          0.92601225
        -19.72533333          0.92863636
        -19.72266667          0.93089250
        -19.72000000          0.93278291
        -19.71733333          0.93431075
        -19.71466667          0.93548008
        -19.71200000          0.93629584
        -19.70933333          0.93676384
        -19.70666667          0.93689074
        -19.70400000          0.93668400
        -19.70133333          0.93615188
        -19.69866667          0.93530343
        -19.69600000          0.93414838
        -19.69333333          0.93269718
        -19.69066667          0.93096093
        -19.68800000          0.92895135
        -19.68533333          0.92668073
        -19.68266667          0.92416188
        -19.68000000          0.92140811
        -19.67733333          0.91843316
        -19.67466667          0.91525117
        -19.67200000          0.91187659
        -19.66933333          0.90832420
        -19.66666667          0.90460900
        -19.66400000          0.90074618
        -19.66133333          0.89675109
        -19.65866667          0.89263914
        -19.65600000          0.88842580
        -19.65333333          0.88412652
        -19.65066667          0.87975669
        -19.64800000          0.87533159
        -19.64533333          0.87086635
        -19.64266667          0.86637588
        -19.64000000          0.86187486
        -19.63733333          0.85737766
        -19.63466667          0.85289834
        -19.63200000          0.84845057
        -19.62933333          0.84404761
        -19.62666667          0.83970228
        -19.62400000          0.83542691
        -19.62133333          0.83123334
        -19.61866667          0.82713284
        -19.61600000          0.82313614
        -19.61333333          0.81925338
        -19.61066667          0.81549407
        -19.60800000          0.81186712
        -19.60533333          0.80838077
        -19.60266667          0.80504264
        -19.60000000          0.80185964
        -19.59733333          0.79883805
        -19.59466667          0.79598346
        -19.59200000          0.79330076
        -19.58933333          0.79079420
        -19.58666667          0.78846733
        -19.58400000          0.78632304
        -19.58133333          0.78436358
        -19.57866667          0.78259051
        -19.57600000          0.78100480
        -19.57333333          0.77960677
        -19.57066667          0.77839616
        -19.56800000          0.77737210
        -19.56533333          0.77653319
        -19.56266667          0.77587746
        -19.56000000          0.77540243
        -19.55733333          0.77510516
        -19.55466667          0.77498219
        -19.55200000          0.77502968
        -19.54933333          0.77524334
        -19.54666667          0.77561851
        -19.54400000          0.77615020
        -19.54133333          0.77683307
        -19.53866667          0.77766152
        -19.53600000          0.77862967
        -19.53333333          0.77973142
        -19.53066667          0.78096047
        -19.52800000          0.78231036
        -19.52533333          0.78377447
        -19.52266667          0.78534611
        -19.52000000          0.78701849
        -19.51733333          0.78878475
        -19.51466667          0.79063804
        -19.51200000          0.79257149
        -19.50933333          0.79457828
        -19.50666667          0.79665161
        -19.50400000          0.79878479
        -19.50133333          0.80097120
        -19.49866667          0.80320437
        -19.49600000          0.80547793
        -19.49333333          0.80778569
        -19.49066667          0.81012164
        -19.48800000          0.81247994
        -19.48533333          0.81485496
        -19.48266667          0.81724131
        -19.48000000          0.81963378
        -19.47733333          0.82202744
        -19.47466667          0.82441760
        -19.47200000          0.82679980
        -19.46933333          0.82916988
        -19.46666667          0.83152392
        -19.46400000          0.83385829
        -19.46133333          0.83616962
        -19.45866667          0.83845481
        -19.45600000          0.84071107
        -19.45333333          0.84293587
        -19.45066667          0.84512695
        -19.44800000          0.84728233
        -19.44533333          0.84940033
        -19.44266667          0.85147950
        -19.44000000          0.85351870
        -19.43733333          0.85551702
        -19.43466667          0.85747384
        -19.43200000          0.85938876
        -19.42933333          0.86126168
        -19.42666667          0.86309270
        -19.42400000          0.86488218
        -19.42133333          0.86663071
        -19.41866667          0.86833910
        -19.41600000          0.87000840
        -19.41333333          0.87163986
        -19.41066667          0.87323494
        -19.40800000          0.87479529
        -19.40533333          0.87632278
        -19.40266667          0.87781944
        -19.40000000          0.87928751
        -19.39733333          0.88072938
        -19.39466667          0.88214762
        -19.39200000          0.88354496
        -19.38933333          0.88492428
        -19.38666667          0.88628861
        -19.38400000          0.88764112
        -19.38133333          0.88898511
        -19.37866667          0.89032401
        -19.37600000          0.89166137
        -19.37333333          0.89300084
        -19.37066667          0.89434620
        -19.36800000          0.89570129
        -19.36533333          0.89707005
        -19.36266667          0.89845652
        -19.36000000          0.89986479
        -19.35733333          0.90129900
        -19.35466667          0.90276338
        -19.35200000          0.90426215
        -19.34933333          0.90579961
        -19.34666667          0.90738006
        -19.34400000          0.90900779
        -19.34133333          0.91068714
        -19.33866667          0.91242238
        -19.33600000          0.91421779
        -19.33333333          0.91607761
        -19.33066667          0.91800600
        -19.32800000          0.92000709
        -19.32533333          0.92208492
        -19.32266667          0.92424342
        -19.32000000          0.92648642
        -19.31733333          0.92881766
        -19.31466667          0.93124068
        -19.31200000          0.93375893
        -19.30933333          0.93637565
        -19.30666667          0.93909391
        -19.30400000          0.94191658
        -19.30133333          0.94484632
        -19.29866667          0.94788555
        -19.29600000          0.95103646
        -19.29333333          0.95430098
        -19.29066667          0.95768075
        -19.28800000          0.96117714
        -19.28533333          0.96479121
        -19.28266667          0.96852373
        -19.28000000          0.97237511
        -19.27733333          0.97634546
        -19.27466667          0.98043453
        -19.27200000          0.98464172
        -19.26933333          0.98896607
        -19.26666667          0.99340626
        -19.26400000          0.99796059
        -19.26133333          1.00262698
        -19.25866667          1.00740298
        -19.25600000          1.01228577
        -19.25333333          1.01727213
        -19.25066667          1.02235848
        -19.24800000          1.02754086
        -19.24533333          1.03281494
        -19.24266667          1.03817604
        -19.24000000          1.04361912
        -19.23733333          1.04913879
        -19.23466667          1.05472934
        -19.23200000          1.06038475
        -19.22933333          1.06609867
        -19.22666667          1.07186450
        -19.22400000          1.07767533
        -19.22133333          1.08352403
        -19.21866667          1.08940325
        -19.21600000          1.09530539
        -19.21333333          1.10122271
        -19.21066667          1.10714729
        -19.20800000          1.11307107
        -19.20533333          1.11898589
        -19.20266667          1.12488350
        -19.20000000          1.13075561
        -19.19733333          1.13659388
        -19.19466667          1.14238999
        -19.19200000          1.14813563
        -19.18933333          1.15382255
        -19.18666667          1.15944259
        -19.18400000          1.16498770
        -19.18133333          1.17044997
        -19.17866667          1.17582165
        -19.17600000          1.18109518
        -19.17333333          1.18626323
        -19.17066667          1.19131870
        -19.16800000          1.19625476
        -19.16533333          1.20106485
        -19.16266667          1.20574275
        -19.16000000          1.21028254
        -19.15733333          1.21467866
        -19.15466667          1.21892588
        -19.15200000          1.22301940
        -19.14933333          1.22695475
        -19.14666667          1.23072789
        -19.14400000          1.23433518
        -19.14133333          1.23777339
        -19.13866667          1.24103973
        -19.13600000          1.24413179
        -19.13333333          1.24704761
        -19.13066667          1.24978567
        -19.12800000          1.25234482
        -19.12533333          1.25472437
        -19.12266667          1.25692401
        -19.12000000          1.25894385
        -19.11733333          1.26078436
        -19.11466667          1.26244643
        -19.11200000          1.26393127
        -19.10933333          1.26524048
        -19.10666667          1.26637597
        -19.10400000          1.26733996
        -19.10133333          1.26813501
        -19.09866667          1.26876392
        -19.09600000          1.26922976
        -19.09333333          1.26953586
        -19.09066667          1.26968575
        -19.08800000          1.26968317
        -19.08533333          1.26953203
